RECORDID,EAS_ADDRESS_X_PARCEL_ID,BLKLOT
2020-008491BBN,395935,3254010
2020-008491BBN,395936,3254011
2020-008491BBN,395938,3254013
2020-008491BBN,395939,3254014
2020-008491BBN,395940,3254015
2020-008491BBN,396053,3260012
2020-008491BBN,396054,3260013
2020-008491BBN,396056,3260015
2020-008491BBN,396057,3260016
2020-008491BBN,396058,3260017
2020-008491BBN,396059,3260018
2020-008491BBN,396089,3262001
2020-008491BBN,395902,3252013
2020-008491BBN,395904,3252015
2020-008491BBN,395905,3252016
2020-008491BBN,395906,3252018
2020-008491BBN,395941,3254016
2020-008491BBN,395942,3254017
2020-008491BBN,395943,3254018
2020-008491BBN,395944,3254019
2020-008491BBN,395945,3254020
2020-008491BBN,559854,3256002
2020-008491BBN,396023,3259021
2020-008491BBN,396024,3259022
2020-008491BBN,396025,3259023
2020-008491BBN,396026,3259024
2020-008491BBN,396060,3260019
2020-008491BBN,396061,3260020
2020-008491BBN,396063,3260022
2020-008491BBN,396064,3260023
2020-008491BBN,396065,3260024
2020-008491BBN,396066,3260025
2020-008491BBN,395907,3253001
2020-008491BBN,395908,3253002
2020-008491BBN,395909,3253003
2020-008491BBN,395911,3253004A
2020-008491BBN,395912,3253005
2020-008491BBN,395913,3253006
2020-008491BBN,395946,3257001
2020-008491BBN,395947,3257002
2020-008491BBN,395948,3257003
2020-008491BBN,395996,3258028
2020-008491BBN,396027,3259026
2020-008491BBN,396028,3259027
2020-008491BBN,396030,3259030
2020-008491BBN,396031,3259031
2020-008491BBN,396032,3259032
2020-008491BBN,396033,3259033
2020-008491BBN,396067,3260026
2020-008491BBN,396156,3265006
2020-008491BBN,396157,3265007
2020-008491BBN,396158,3265008
2020-008491BBN,395914,3253007
2020-008491BBN,395915,3253008
2020-008491BBN,395916,3253009
2020-008491BBN,395918,3253010
2020-008491BBN,395919,3253011
2020-008491BBN,395920,3253012
2020-008491BBN,395997,3258029
2020-008491BBN,395998,3258030
2020-008491BBN,396000,3258032
2020-008491BBN,396001,3258033
2020-008491BBN,396002,3258034
2020-008491BBN,396003,3258035
2020-008491BBN,396034,3259034
2020-008491BBN,396035,3259036
2020-008491BBN,396036,3259037
2020-008491BBN,396038,3259039
2020-008491BBN,396039,3259041
2020-008491BBN,396040,3259042
2020-008491BBN,396160,3265010
2020-008491BBN,396161,3265011
2020-008491BBN,396162,3265012
2020-008491BBN,396163,3265013
2020-008491BBN,396164,3265014
2020-008491BBN,395858,3250001
2020-008491BBN,395859,3250002
2020-008491BBN,395861,3250004
2020-008491BBN,395862,3250005
2020-008491BBN,396192,3267025
2020-008491BBN,396193,3267026
2020-008491BBN,396194,3267027
2020-008491BBN,396168,3267003
2020-008491BBN,396170,3267005
2020-008491BBN,396171,3267006
2020-008491BBN,396195,3267028
2020-008491BBN,396196,3267029
2020-008491BBN,396198,3267031
2020-008491BBN,396199,3269001
2020-008491BBN,396200,3269002
2020-008491BBN,396201,3269003
2020-008491BBN,592035,3269003
2020-008491BBN,396172,3267007
2020-008491BBN,396173,3267008
2020-008491BBN,396174,3267009
2020-008491BBN,396176,3267011
2020-008491BBN,396177,3267012
2020-008491BBN,396178,3267013
2020-008491BBN,396202,3269004
2020-008491BBN,396203,3269005
2020-008491BBN,396204,3269006
2020-008491BBN,396205,3269007
2020-008491BBN,396207,3269008A
2020-008491BBN,396208,3269009
2020-008491BBN,396179,3267014
2020-008491BBN,396181,3267016
2020-008491BBN,396182,3267016A
2020-008491BBN,396183,3267017
2020-008491BBN,396184,3267017A
2020-008491BBN,396185,3267018
2020-008491BBN,396209,3269009A
2020-008491BBN,396186,3267019
2020-008491BBN,396188,3267021
2020-008491BBN,396189,3267023
2020-008491BBN,396190,3267024
2020-008491BBN,396191,3267024A
2020-008491BBN,396124,3263010
2020-008491BBN,395922,3253014
2020-008491BBN,396007,3259004
2020-008491BBN,396042,3260001
2020-008491BBN,396105,3262016
2020-008491BBN,395917,3253009A
2020-008491BBN,395999,3258031
2020-008491BBN,396135,3264008
2020-008491BBN,396037,3259038
2020-008491BBN,396159,3265009
2020-008491BBN,395887,3252001
2020-008491BBN,396072,3261005
2020-008491BBN,396140,3264013
2020-008491BBN,395896,3252008
2020-008491BBN,396019,3259017
2020-008491BBN,395924,3253016
2020-008491BBN,396146,3264019
2020-008491BBN,395900,3252011
2020-008491BBN,395979,3258009
2020-008491BBN,396078,3261011
2020-008491BBN,395985,3258016
2020-008491BBN,395930,3254005
2020-008491BBN,396048,3260007
2020-008491BBN,396084,3261017
2020-008491BBN,395991,3258022
2020-008491BBN,395937,3254012
2020-008491BBN,396055,3260014
2020-008491BBN,395867,3250016
2020-008491BBN,395953,3257008
2020-008491BBN,396092,3262003
2020-008491BBN,395903,3252014
2020-008491BBN,559947,3256001
2020-008491BBN,396127,3263013
2020-008491BBN,396022,3259020
2020-008491BBN,396062,3260021
2020-008491BBN,395957,3257012
2020-008491BBN,395910,3253004
2020-008491BBN,396099,3262010
2020-008491BBN,395949,3257004
2020-008491BBN,396029,3259028
2020-008491BBN,395880,3251012
2020-008491BBN,395965,3257025
2020-008491BBN,396155,3265005
2020-008491BBN,396169,3267004
2020-008491BBN,396197,3267030
2020-008491BBN,396175,3267010
2020-008491BBN,396206,3269008
2020-008491BBN,396180,3267015
2020-008491BBN,396210,3269009B
2020-008491BBN,395860,3250003
2020-008491BBN,396187,3267020
