RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
2006.1530D,4/4/2007,Withdawn,,Withdawn
2006.1530D_4,4/4/2007,Withdawn,,Withdawn
2006.1536B,3/22/2007,Approved,17400,Approved
2006.1536B,8/8/2013,Cancelled,,Cancelled
