RECORD_NO,ListingID
2019-020485STR,5853587
2019-020578STR,38328840
2019-021322STR,29612313
2019-021322STR,41276735
2019-021558STR,39465751
2019-021603STR,38305157
2019-021632STR,45805136
2019-021659STR,37884138
2019-022455STR,6885422
2019-022500STR,38798041
2019-022500STR,47121534
2019-022542STR,552258065453023271
2019-022916STR,21389519
2019-023249STR,40619776
2019-023249STR,42433950
2019-023258STR,20981346
2019-023266STR,20424542
2020-000394STR,35517609
2020-000836STR,34606745
2020-000836STR,34656053
2020-000836STR,34607614
2020-000836STR,34646493
2020-001505STR,564514202485514736
2020-001514STR,41560505
2020-001518STR,50049153
2020-001531STR,43712950
2020-002094STR,1421671
2020-002559STR,20695687
2020-003645STR,43546854
2020-003645STR,54072028
2020-003645STR,42738208
2020-003647STR,53755061
2020-003647STR,54320727
2020-003650STR,42778408
2020-003695STR,38722260
2020-003782STR,32613163
2020-003907STR,44798562
2020-004383STR,474124
2020-004444STR,51488127
2020-004444STR,552024524024480699
2020-004449STR,51888815
2020-004451STR,5251589
2020-004502STR,2783251
2020-004607STR,34313204
2020-005192STR,571835998636257325
2020-005233STR,547841738744504949
2020-005274STR,3263219
2020-005865STR,564572198489595966
2020-005929STR,45092739
2020-005929STR,585047415787002741
2020-005929STR,586809621997971024
2020-005985STR,1107014
2020-006078STR,9488665
2020-006180STR,7699910
2020-006627STR,36184755
2020-006639STR,42209720
2020-006773STR,1673011
2020-006888STR,48695555
2020-006888STR,550169323410991613
2020-006969STR,124011
2020-007463STR,10409218
2020-008002STR,14763705
2020-008003STR,1504826
2020-008076STR,42989740
2020-008076STR,46780128
2020-008602STR,43947688
2020-008955STR,20571008
2020-009490STR,45270287
2020-009517STR,10832295
2020-009778STR,13735115
2020-009778STR,39580721
2020-009882STR,13788740
2020-009939STR,9650878
2020-010273STR,50064502
2020-010925STR,46640594
2020-011256STR,24230206
2020-011567STR,49595336
2020-011694STR,50904287
2020-011948STR,48201806
2020-011949STR,14705126
2020-012030STR,44530899
2020-012209STR,47124930
2021-000035STR,20563658
2021-000036STR,45843730
2021-000038STR,2154122
2021-000047STR,16348139
2021-000053STR,53013664
2021-000054STR,38604508
2021-000054STR,589798513618625147
2021-000055STR,14505006
2021-000081STR,50010586
2021-000092STR,16900525
2021-000106STR,4663132
2021-000114STR,50418118
2021-000125STR,4463165
2021-000132STR,14166343
2021-000145STR,738547
2021-000605STR,32383287
2021-000823STR,14640100
2021-001227STR,28200634
2021-001505STR,18209966
2021-001574STR,47065418
2021-002044STR,22048080
2021-002377STR,38416451
2021-002521STR,48631814
2021-002599STR,576983510711255981
2021-002609STR,11948102
2021-002657STR,48567054
2021-002743STR,29305555
2021-002870STR,48257958
2021-002870STR,48640926
2021-002871STR,45299734
2021-003115STR,615130386357782527
2021-003196STR,592883
2021-003584STR,41172
2021-003799STR,26710943
2021-003830STR,25254687
2021-003958STR,51087652
2021-004082STR,468490
2021-004091STR,51341671
2021-004093STR,20866502
2021-004098STR,38818752
2021-004098STR,31155952
2021-004526STR,50036688
2021-004704STR,30745601
2021-004932STR,559481425114656103
2021-005037STR,6523507
2021-005056STR,48230046
2021-005058STR,49043049
2021-005060STR,592806403426207689
2021-005092STR,39846822
2021-005143STR,42136964
2021-005440STR,50102122
2021-005477STR,18810290
2021-005689STR,51453486
2021-005778STR,15177458
2021-005849STR,958
2021-005853STR,561148
2021-005933STR,50380218
2021-005996STR,32216182
2021-006011STR,52141546
2021-006332STR,31858008
2021-006382STR,600141797225938634
2021-006382STR,51524836
2021-006467STR,545090960456109743
2021-006657STR,19368789
2021-006793STR,51050512
2021-006821STR,588536408397712171
2021-006903STR,50826010
2021-006955STR,49879038
2021-007018STR,23340714
2021-007124STR,583266891497442203
2021-007124STR,583401810511122124
2021-007124STR,583369792665308750
2021-007127STR,592950954865791900
2021-007130STR,50509845
2021-007143STR,50799581
2021-007211STR,5581254
2021-007360STR,28363414
2021-007371STR,51535442
2021-007462STR,8151985
2021-007632STR,15849484
2021-007833STR,9650878
2021-007864STR,44559898
2021-008011STR,616179982425127443
2021-008260STR,550124355173291347
2021-008782STR,3168359
2021-008782STR,4023249
2021-008981STR,8420533
2021-008981STR,23632116
2021-009098STR,52171550
2021-009163STR,580348379376674225
2021-009171STR,27937727
2021-009171STR,27938375
2021-009171STR,34868915
2021-009199STR,30821293
2021-009250STR,53363558
2021-009259STR,53117893
2021-010061STR,4825026
2021-010192STR,54160404
2021-010192STR,54143584
2021-010192STR,54160456
2021-010192STR,54231080
2021-010464STR,21125429
2021-010562STR,47579096
2021-010585STR,53662536
2021-010896STR,15150709
2021-010896STR,1438864
2021-010910STR,571085329824921374
2021-010932STR,7899085
2021-011029STR,4097700
2021-011132STR,3720392
2021-011159STR,611877965743828424
2021-011349STR,52739616
2021-011433STR,9546883
2021-011440STR,52919350
2021-011672STR,608091474546008704
2021-011689STR,10684058
2021-011708STR,1579304
2021-011834STR,53182914
2021-012008STR,564534871369559526
2021-012029STR,53517588
2021-012031STR,53633950
2021-012036STR,52499026
2021-012108STR,14404663
2021-012259STR,26140890
2021-012383STR,570355159707824145
2021-012386STR,54263591
2021-012768STR,7968749
2021-012773STR,51803401
2021-012774STR,52010007
2021-012776STR,53624675
2021-012854STR,53972612
2021-012858STR,550124355173291347
2021-012859STR,555034248058195672
2021-012978STR,602942019226524239
2022-000072STR,53236790
2022-000072STR,549573773652954249
2022-000379STR,53756392
2022-000384STR,53800185
2022-000385STR,54066185
2022-000394STR,574500112509083926
2022-000741STR,544227519546878806
2022-000807STR,579660731028610876
2022-000819STR,5.47791E+17
2022-000841STR,21113266
2022-000841STR,38289262
2022-000853STR,138619
2022-000923STR,35125616
2022-001000STR,53392319
2022-001030STR,582527057339892890
2022-001241STR,581244816736811307
2022-001241STR,580742966924077585
2022-001248STR,561727847608787808
2022-001344STR,1083810
2022-001344STR,575418316741009180
2022-001378STR,568345802178089321
2022-001378STR,591612530005568720
2022-001378STR,568323121726876718
2022-001455STR,50471530
2022-001607STR,30210835
2022-001681STR,608195078390461010
2022-001867STR,582735564796093111
2022-001886STR,574688480907115940
2022-001921STR,38955191
2022-001935STR,543466002303976499
2022-001937STR,543466002303976499
2022-001937STR,551147766853916282
2022-001958STR,553001340150062819
2022-002137STR,53672234
2022-002143STR,53687645
2022-002143STR,54096740
2022-002143STR,53519481
2022-002143STR,53687263
2022-002145STR,583510908866176824
2022-002145STR,536433863072625845
2022-002149STR,549894160655674961
2022-002151STR,549419539756078726
2022-002151STR,554621900576432684
2022-002151STR,554570998373927585
2022-002152STR,549894160655674961
2022-002154STR,545187443457085112
2022-002154STR,552177329271205400
2022-002156STR,550002426171208755
2022-002158STR,553417611309742694
2022-002159STR,547759023800137523
2022-002211STR,602128451319116463
2022-002220STR,593492446273671053
2022-002252STR,21772378
2022-002254STR,591422714407711224
2022-002487STR,21281846
2022-002495STR,587056756001408799
2022-002554STR,586418900902781077
2022-002555STR,541186223090524637
2022-002559STR,26278521
2022-002566STR,26274652
2022-002566STR,594748725812628473
2022-002587STR,2371573
2022-002646STR,574726982161703250
2022-002646STR,589782237363794146
2022-002689STR,590450367241332554
2022-002736STR,562347710428956889
2022-002821STR,31932467
2022-002856STR,597835520443441433
2022-002892STR,594833612711329476
2022-002936STR,40763935
2022-003003STR,571018140421633622
2022-003060STR,578982535247075937
2022-003080STR,579282992717275768
2022-003081STR,585053255252436135
2022-003082STR,569891600486464988
2022-003100STR,597175317551270159
2022-003100STR,592710359590054794
2022-003153STR,598112337364714927
2022-003153STR,589020902524503434
2022-003153STR,614766482817791301
2022-003175STR,588214835533362185
2022-003175STR,589964568790170753
2022-003175STR,50547535
2022-003175STR,589942718019002899
2022-003189STR,33023168
2022-003190STR,562579442178071925
2022-003192STR,613219745284229037
2022-003193STR,577493804480714114
2022-003195STR,616035042210380798
2022-003214STR,39835801
2022-003230STR,576753800639413337
2022-003232STR,31762328
2022-003235STR,13669721
2022-003246STR,1906323
