RECORD_NO,LISTING_ID,HOST_ID
2015-012042STR,7930461,900661
2015-012327STR,10035487,11346187
2015-012439STR,1478708,5004349
2015-012479STR,8472083,44615552
2015-012506STR,6957662,36481063
2015-012685STR,7026287,36833202
2015-013063STR,7956817,38613950
2015-013128STR,7547105,34963239
2015-013141STR,1897346,9856291
2015-013174STR,6968158,17986295
2015-013176STR,4532551,23500389
2015-013337STR,3721927,5020218
2015-013339STR,5998790,16745765
2015-013578STR,13788581,3495695
2015-013712STR,1623609,8633891
2015-014059STR,9972077,47980391
2015-014316STR,6609412,
2015-014328STR,3079929,15673074
2015-014469STR,4663132,10924383
2015-014615STR,7342996,7212456
2015-014620STR,1815551,9509470
2015-014638STR,6560870,28070005
2015-014652STR,2677273,13707610
2015-014725STR,1434425,
2015-014913STR,5863674,30447547
2015-014930STR,2115503,10785430
2015-014975STR,4617719,8515925
2015-015200STR,6748645,3109494
2015-015212STR,964952,5037151
2015-015283STR,4781448,
2015-015289STR,6688004,35005343
2015-015296STR,3441517,17343648
2015-015298STR,8053481,14419919
2015-015308STR,7204761,1782044
2015-015472STR,17010389,4435448
2015-015474STR,7004802,
2015-015488STR,44394000,
2015-015510STR,1937575,
2015-015523STR,2154122,10992775
2015-015565STR,3081324,15679486
2015-015630STR,4295657,
2015-015631STR,6926901,1539714
2015-015686STR,3718865,2348306
2015-015788STR,34602830,617985
2015-015792STR,3261876,3371679
2015-015794STR,16824774,3554374
2015-015812STR,982298,5380962
2015-015837STR,4517932,8470040
2015-016059STR,2119773,2501567
2015-016158STR,4122671,21387911
2015-016183STR,45742381,
2015-016203STR,379349,1901233
2015-016223STR,487019,2410550
2015-016332STR,7884875,23071835
2015-016618STR,4549485,23587810
2015-016638STR,1407244,7578793
2015-018159STR,71645,367464
2015-018165STR,10347570,8541411
2015-018207STR,9730358,3814414
2015-018216STR,4956697,17815428
2015-018226STR,10747219,53307355
2015-018239STR,11442567,38836
2015-018369STR,6973383,22402
2015-018423STR,4533652,16884266
2015-018426STR,10455995,1031577
2015-018483STR,829185,4346130
2015-018555STR,8209055,107051
2015-018562STR,3081560,15680647
2016-000141STR,379255,1904628
2016-000168STR,5242394,11997544
2016-000246STR,10661953,17536951
2016-000292STR,342420,1737796
2016-000299STR,10930490,4123854
2016-000311STR,8184928,4221614
2016-000350STR,9695480,21199285
2016-000479STR,7701360,22098219
2016-000579STR,10273567,52830865
2016-000591STR,3015450,10374153
2016-000599STR,8524982,28784940
2016-000780STR,8275596,23621923
2016-000795STR,1807012,1574663
2016-000820STR,997382,1032643
2016-000838STR,14488234,5161705
2016-000844STR,6006768,26870698
2016-000905STR,9477823,44679401
2016-000907STR,2130640,
2016-000943STR,1125079,5565510
2016-001063STR,10749747,1563282
2016-001069STR,4525604,1937186
2016-001146STR,663623,119920
2016-001339STR,4252808,3059177
2016-001346STR,9051149,47224934
2016-001348STR,12835527,570963
2016-001354STR,13669721,69670960
2016-001379STR,1605483,1125797
2016-001489STR,7222704,30610362
2016-001526STR,44380001,559810
2016-001690STR,2723005,9878850
2016-001750STR,11191951,26700255
2016-002066STR,11225011,23309181
2016-002116STR,1944564,812141
2016-002184STR,17120944,14003785
2016-002387STR,691023,3531780
2016-002396STR,3123536,183023205
2016-002448STR,11345707,59406195
2016-002662STR,10437411,4413556
2016-002790STR,35843505,12150667
2016-003365STR,62651,185923
2016-003428STR,18777830,
2016-003541STR,29557,126036
2016-003541STR,29557,126036
2016-003582STR,1098003,6034365
2016-003650STR,33528893,4349750
2016-003708STR,16348139,7610972
