RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
2005.0414C,6/23/2005,Approved,,Approved
2005.0415A,7/28/2005,Approved,,Approved
2005.0419A,5/9/2006,Approved,,Approved
2005.0421D,5/12/2005,Approved,,Approved
2005.0424V,10/28/2011,Approved,,Approved
2005.0425C,9/1/2005,Approved,,Approved
2005.0431A,8/26/2005,Approved,,Approved
2005.0432C,7/14/2005,Approved,,Approved
2005.0433C,8/4/2005,Adopted,,Approved
2005.0446A,8/18/2005,Approved,,Approved
2005.0451C,10/6/2005,Approved,,Approved
2005.0452A,5/27/2005,Approved,,Approved
2005.0463C,7/14/2005,Approved,,Approved
2005.0463V,7/14/2005,Approved,,Approved
2005.0470A,8/22/2008,Approved,,Approved
2005.0470C,9/4/2008,Approved,17688,Approved
2005.0472D,9/8/2005,Approved,,Approved
2005.0472D_4,9/8/2005,Approved,,Approved
2005.0472D_7,9/8/2005,Approved,,Approved
2005.0475X,4/27/2006,Approved,17234,Approved
2005.0480C,2/9/2006,Approved,17186,Approved
2005.0481D,2/9/2006,Withdawn,,Withdawn
2005.0485C,9/8/2005,Approved,,Approved
2005.0488C,1/18/2007,Approved,17361,Approved
2005.0490C,2/21/2008,Approved,17560,Approved
2005.0492C,8/11/2005,Disapproved,17106,Disapproved
2005.0498A,7/1/2005,Approved,,Approved
2005.0504C,6/16/2006,Withdawn,,Withdawn
2005.0509D,10/24/2005,Approved,,Approved
2005.0511V,10/26/2006,Cancelled,,Cancelled
2005.0522C,9/22/2005,Approved,17111,Approved
2005.0527D,10/6/2005,Approved,,Approved
2005.0528D,12/1/2005,Approved,,Approved
2005.0528D_4,12/1/2005,Approved,,Approved
2005.0528D_7,12/1/2005,Approved,,Approved
2005.0529C,9/8/2005,Approved,,Approved
2005.0530D,11/3/2005,Approved,,Approved
2005.0540C,11/12/2009,Approved,17979,Approved
2005.0540X,11/12/2009,Approved,17978,Approved
2005.0541C,3/16/2006,Withdawn,,Withdawn
2005.0541X,3/16/2006,Approved,17206,Approved
2005.0543D,5/25/2006,Approved,,Approved
2005.0546A,8/23/2005,Approved,,Approved
2005.0564C,12/1/2005,Approved,,Approved
2005.0565C,1/26/2006,Approved,17179,Approved
2005.0567D,2/16/2006,Approved,,Approved
2005.0569C,8/4/2005,Adopted,,Approved
2005.0570D,10/19/2006,Withdawn,,Withdawn
2005.0573D,2/15/2007,Approved,,Approved
2005.0574A,7/18/2005,Approved,,Approved
2005.0577D,11/3/2005,Approved,,Approved
2005.0579C,7/28/2005,Approved,17067,Approved
2005.0582C,6/22/2006,Approved,17273,Approved
2005.0603D,10/20/2005,Approved,,Approved
2005.0606A,8/23/2005,Approved,,Approved
2005.0608D,1/12/2006,Approved,,Approved
2005.0608D_4,1/12/2006,Withdawn,,Withdawn
2005.0611A,10/20/2006,Approved,,Approved
2005.0612D,10/6/2005,Approved,,Approved
2005.0614C,2/20/2007,Withdawn,,Withdawn
2005.0616D,8/23/2007,Withdawn,,Withdawn
2005.0617C,7/27/2006,Approved,17286,Approved
2005.0620D,1/26/2006,Approved,,Approved
2005.0621D,8/3/2006,Approved,,Approved
2005.0622D,10/20/2005,Withdawn,,Withdawn
2005.0623D,7/25/2005,Withdawn,,Withdawn
2005.0627X,10/27/2005,Approved,,Approved
2005.0632C,10/27/2005,Disapproved,17130,Disapproved
2005.0633D,5/24/2007,Approved,,Approved
2005.0633D_10,5/24/2007,Approved,,Approved
2005.0633D_4,5/24/2007,Approved,,Approved
2005.0633D_7,5/24/2007,Approved,,Approved
2005.0651C,6/19/2008,Approved,,Approved
2005.0651V,6/19/2008,Withdawn,,Withdawn
2005.0657D,8/26/2005,Withdawn,,Withdawn
2005.0660D,1/5/2006,Approved,,Approved
2005.0663C,10/27/2005,Approved,,Approved
2005.0672D,10/20/2005,Approved,,Approved
2005.0672D_4,10/20/2005,Approved,,Approved
2005.0672D_7,10/20/2005,Approved,,Approved
2005.0673A,2/28/2006,Approved,,Approved
2005.0675C,2/23/2006,Approved,17190,Approved
2005.0677V,3/29/2007,Withdawn,,Withdawn
2005.0680D,9/22/2005,Approved,,Approved
2005.0687A,10/27/2005,Approved,,Approved
2005.0694C,1/10/2013,Approved,,Approved
2005.0698C,10/6/2005,Approved,,Approved
2005.0709C,2/16/2006,Approved,17188,Approved
2005.0711V,12/14/2005,Approved,,Approved
2005.0712A,5/10/2006,Approved,,Approved
2005.0712D,9/14/2006,Withdawn,,Withdawn
2005.0712D_4,9/14/2006,Withdawn,,Withdawn
2005.0713D,6/15/2006,Approved,,Approved
2005.0717A,10/11/2005,Approved,,Approved
2005.0719A,9/1/2005,Approved,,Approved
2005.0720D,10/17/2005,Withdawn,,Withdawn
2005.0723C,8/12/2008,Cancelled,,Cancelled
2005.0725V,7/31/2007,Approved,,Approved
2005.0726D,1/26/2006,Approved,,Approved
2005.0731C,4/5/2007,Approved,,Approved
2005.0735D,4/20/2006,Approved,,Approved
2005.0737C,8/10/2006,Approved,17306,Approved
2005.0738D,2/16/2006,Approved,,Approved
2005.0739C,1/11/2007,Approved,17352,Approved
2005.0739P,1/11/2007,Approved,17353,Approved
2005.0740C,4/27/2006,Approved,17238,Approved
2005.0743D,11/3/2005,Approved,,Approved
2005.0744V,8/10/2005,Withdawn,,Withdawn
2005.0748C,11/17/2005,Approved,,Approved
2005.0749D,5/3/2006,Withdawn,,Withdawn
2005.0751D,1/22/2009,Approved,DRA-0058,Approved
2005.0751D_4,1/22/2009,Approved,DRA-0058,Approved
2005.0751D_7,1/22/2009,Approved,DRA-0058,Approved
2005.0752C,8/19/2013,Withdawn,,Withdawn
2005.0753V,11/6/2006,Cancelled,,Cancelled
2005.0754V,4/13/2007,Cancelled,,Cancelled
2005.0755A,9/27/2005,Approved,,Approved
2005.0757C,4/20/2006,Approved,17232,Approved
2005.0758D,9/23/2005,Withdawn,,Withdawn
2005.0759C,8/8/2013,Cancelled,,Cancelled
2005.0759V,8/8/2013,Cancelled,,Cancelled
2005.0761D,4/27/2006,Approved,,Approved
2005.0762C,4/10/2008,Approved,,Approved
2005.0764D,7/13/2006,Approved,,Approved
2005.0769D,6/8/2006,Approved,,Approved
2005.0771C,1/19/2006,Approved,17176,Approved
2005.0774D,2/26/2006,Withdawn,,Withdawn
2005.0774D_4,2/26/2006,Withdawn,,Withdawn
2005.0775D,6/8/2006,Approved,,Approved
2005.0776C,12/14/2006,Approved,17350,Approved
2005.0776D,12/14/2006,Approved,,Approved
2005.0776V,12/15/2006,Cancelled,,Cancelled
2005.0777D,12/7/2006,Approved,,Approved
2005.0779C,1/19/2006,Approved,17174,Approved
2005.0780V,3/7/2006,Withdawn,,Withdawn
2005.0781D,8/3/2006,Approved,,Approved
2005.0795C,1/19/2006,Approved,17178,Approved
2005.0795C,1/19/2006,Approved,17178,Approved
2005.0801V,8/31/2009,Cancelled,,Cancelled
2005.0804C,4/6/2006,Approved,17221,Approved
2005.0816C,6/8/2006,Approved,17257,Approved
2005.0817C,11/9/2006,Approved,17339,Approved
2005.0817D,11/9/2006,Approved,,Approved
2005.0818X,12/8/2005,Approved,,Approved
2005.0838C,3/29/2006,Approved,17207,Approved
2005.0842D,11/1/2007,Approved,,Approved
2005.0844D,12/8/2011,Approved,DRA-0247,Approved
2005.0850C,3/9/2006,Approved,17205,Approved
2005.0851C,10/27/2005,Approved,,Approved
2005.0854D,10/31/2005,Withdawn,,Withdawn
2005.0856D,10/30/2006,Cancelled,,Cancelled
2005.0857C,5/25/2006,Approved,17247,Approved
2005.0857D,5/25/2006,Approved,,Approved
2005.0859C,3/15/2007,Approved,17395,Approved
2005.0861C,12/8/2005,Approved,,Approved
2005.0864A,12/16/2005,Approved,,Approved
2005.0869C,3/24/2011,Approved,,Approved
2005.0869C_3,3/24/2011,Approved,,Approved
2005.0876C,4/2/2009,Approved,17855,Approved
2005.0879C,1/19/2006,Approved,17175,Approved
2005.0880A,10/21/2005,Approved,,Approved
2005.0880D,1/19/2006,Approved,,Approved
2005.0882D_4,5/1/2006,Cancelled,,Cancelled
2005.0884D,12/14/2005,Withdawn,,Withdawn
2005.0885D,12/9/2005,Withdawn,,Withdawn
2005.0894C,4/20/2006,Approved,17229,Approved
2005.0894P,4/20/2006,Approved,17230,Approved
2005.0898D,3/9/2006,Approved,,Approved
2005.0899D,10/20/2005,Cancelled,,Cancelled
2005.0902D,11/17/2005,Withdawn,,Withdawn
2005.0902D_4,11/17/2005,Withdawn,,Withdawn
2005.0908A,12/20/2005,Approved,,Approved
2005.0913D,11/9/2006,Approved,,Approved
2005.0914D,11/9/2006,Approved,,Approved
2005.0916C,1/9/2006,Withdawn,,Withdawn
2005.0928A,3/14/2006,Approved,,Approved
2005.0934V,2/22/2006,Approved,,Approved
2005.0935C,12/15/2005,Approved,17163,Approved
2005.0937D,4/19/2007,Approved,,Approved
2005.0938C,5/31/2006,Withdawn,,Withdawn
2005.0940D,12/8/2005,Approved,,Approved
2005.0942B,1/10/2012,Cancelled,,Cancelled
2005.0942V,1/10/2012,Cancelled,,Cancelled
2005.0946X,4/13/2006,Approved,17226,Approved
2005.0948C,9/15/2008,Cancelled,,Cancelled
2005.0949V,3/22/2006,Approved,,Approved
2005.0950C,1/16/2007,Withdawn,,Withdawn
2005.0954V,8/2/2006,Approved,,Approved
2005.0955C,1/12/2006,Approved,17170,Approved
2005.0960C,12/15/2005,Approved,17160,Approved
2005.0965C,1/26/2006,Approved,17180,Approved
2005.0965C,1/26/2006,Approved,17180,Approved
2005.0971D,5/25/2006,Approved,,Approved
2005.0973V,5/10/2006,Approved,,Approved
2005.0976C,2/9/2006,Approved,17184,Approved
2005.0978C,12/8/2005,Approved,,Approved
2005.0979X,5/28/2009,Approved,,Approved
2005.0982D,2/9/2006,Approved,14844,Approved
2005.0983D,9/28/2006,Approved,,Approved
2005.0984V,12/11/2006,Cancelled,,Cancelled
2005.0987V,11/21/2006,Withdawn,,Withdawn
2005.0988C,3/2/2006,Approved,17192,Approved
2005.0989C,3/6/2006,Withdawn,,Withdawn
