RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
1990.003D,5/17/1990,Approved,11944,Approved
1990.009C,11/8/1990,Approved,12070,Approved
1990.010V,7/8/1991,Approved,,Approved
1990.014V,8/7/1990,Approved,,Approved
1990.017V,10/24/1990,Disapproved,,Disapproved
1990.018A,2/7/1990,Approved,,Approved
1990.022D,11/15/1990,Approved,12074,Approved
1990.022V,11/15/1990,Withdawn,,Withdawn
1990.023D,11/15/1990,Approved,12073,Approved
1990.023V,10/1/1991,Approved,,Approved
1990.023V_2,11/15/1990,Withdawn,,Withdawn
1990.025V,8/14/1990,Approved,,Approved
1990.027C,4/26/1990,Approved,11929,Approved
1990.028V,8/14/1990,Approved,,Approved
1990.029C,4/12/1990,Approved,11919,Approved
1990.030V,4/30/1991,Approved,,Approved
1990.033C,12/13/1990,Approved,12088,Approved
1990.034V,9/21/1990,Approved,,Approved
1990.035C,4/25/1991,Approved,13063,Approved
1990.035C_2,7/7/1994,Approved,13721,Approved
1990.036C,2/20/1992,Approved,13287,Approved
1990.037C,2/16/1995,Approved,13828,Approved
1990.038C,7/11/1991,Disapproved,13124,Disapproved
1990.039V,10/22/1990,Approved,,Approved
1990.041C,5/23/1991,Approved,13086,Approved
1990.042V,8/29/1990,Approved,,Approved
1990.043V,11/29/1990,Approved,,Approved
1990.045C,6/20/1991,Approved,13111,Approved
1990.045V,7/10/1991,Approved,,Approved
1990.046D,10/10/1991,Approved,13188,Approved
1990.046V,11/1/1991,Approved,,Approved
1990.047P,4/11/1991,Approved,13055,Approved
1990.048V,9/14/1990,Approved,,Approved
1990.053V,1/28/1992,Approved,,Approved
1990.054A,4/18/1990,Approved,,Approved
1990.056V,11/5/1990,Disapproved,,Disapproved
1990.057D,3/8/1990,Approved,11888,Approved
1990.064C,4/19/1990,Approved,11923,Approved
1990.066X,4/26/1990,Approved,11928,Approved
1990.068P,7/19/1990,Approved,11981,Approved
1990.070C,4/12/1990,Approved,11914,Approved
1990.073V,3/22/1991,Approved,,Approved
1990.074D,5/17/1990,Approved,11945,Approved
1990.079C,5/23/1991,Approved,13085,Approved
1990.080C,4/12/1990,Approved,11915,Approved
1990.080V,9/19/1990,Approved,,Approved
1990.081C,7/18/1991,Approved,13129,Approved
1990.082B,6/6/1991,Approved,,Approved
1990.082B,6/6/1991,Approved,,Approved
1990.082B_2,6/7/1990,Approved,,Approved
1990.082C,6/6/1991,Approved,,Approved
1990.082C_2,6/7/1990,Approved,11955,Approved
1990.082X,6/7/1990,Approved,,Approved
1990.083C,7/26/1990,Approved,11990,Approved
1990.091C,6/28/1990,Approved,11971,Approved
1990.093C,6/20/1991,Approved,13110,Approved
1990.094V,11/8/1990,Approved,,Approved
1990.097D,6/25/1990,Approved,11969,Approved
1990.100V,10/6/1990,Approved,,Approved
1990.102A,3/7/1990,Approved,,Approved
1990.109C,2/25/1993,Approved,13469,Approved
1990.109X,2/25/1993,Approved,,Approved
1990.112V,10/11/1990,Approved,,Approved
1990.113C,9/20/1990,Approved,12025,Approved
1990.117C,4/26/1990,Approved,11927,Approved
1990.118C,7/26/1990,Disapproved,11994,Disapproved
1990.120C,7/11/1991,Disapproved,,Disapproved
1990.121C,6/14/1990,Approved,11962,Approved
1990.122V,12/4/1990,Disapproved,,Disapproved
1990.124C,6/19/1992,Withdawn,,Withdawn
1990.125V,10/12/1990,Approved,,Approved
1990.129D,7/23/1990,Approved,11986,Approved
1990.150C,9/17/1992,Approved,13407,Approved
1990.150V,3/15/1993,Approved,,Approved
1990.151V,7/22/1991,Approved,,Approved
1990.169C,5/31/1990,Approved,11950,Approved
1990.177V,11/8/1990,Disapproved,,Disapproved
1990.179D,8/16/1990,Approved,11998,Approved
1990.181A,3/21/1990,Approved,,Approved
1990.182A,3/21/1990,Disapproved,,Disapproved
1990.185D,4/12/1990,Approved,11916,Approved
1990.186D,6/11/1990,Approved,11957,Approved
1990.187D,11/29/1990,Approved,12083,Approved
1990.191V,1/30/1991,Approved,,Approved
1990.193V,7/15/1991,Approved,,Approved
1990.195C,7/5/1990,Approved,11974,Approved
1990.195V,10/16/1990,Approved,,Approved
1990.197V,12/6/1990,Approved,,Approved
1990.198V,2/1/1991,Approved,,Approved
1990.199C,5/31/1990,Approved,11949,Approved
1990.205C,11/15/1990,Approved,12072,Approved
1990.207C,11/7/1991,Approved,13194,Approved
1990.207V,4/3/1992,Approved,,Approved
1990.208C,11/8/1990,Approved,12067,Approved
1990.217V,8/23/1990,Approved,,Approved
1990.219V,11/8/1990,Approved,,Approved
1990.221C,6/28/1990,Approved,11972,Approved
1990.223C,7/19/1990,Disapproved,11984,Disapproved
1990.224V,10/29/1990,Approved,,Approved
1990.225X,3/14/1991,Approved,13037,Approved
1990.228V,6/8/1990,Approved,,Approved
1990.229V,1/15/1991,Disapproved,,Disapproved
1990.232V,1/22/1991,Approved,,Approved
1990.236V,12/4/1990,Approved,,Approved
1990.237V,12/4/1990,Approved,,Approved
1990.238B,6/27/1991,Approved,13114,Approved
1990.239X,9/3/1992,Approved,13403,Approved
1990.239X_2,9/3/1992,Approved,,Approved
1990.240V,4/2/1991,Disapproved,,Disapproved
1990.241C,8/9/1990,Approved,11996,Approved
1990.243D,7/23/1990,Approved,,Approved
1990.270C,9/20/1990,Disapproved,12026,Disapproved
1990.292A,6/20/1990,Disapproved,,Disapproved
1990.293C,7/26/1990,Approved,11989,Approved
1990.295V,12/27/1990,Approved,,Approved
1990.296V,1/22/1991,Approved,,Approved
1990.297C,8/16/1990,Approved,12001,Approved
1990.299C,4/6/2000,Approved,15017,Approved
1990.308C,4/9/1992,Approved,,Approved
1990.309C,6/20/1990,Withdawn,,Withdawn
1990.310C,7/11/1991,Disapproved,13126,Disapproved
1990.311V,11/19/1990,Disapproved,,Disapproved
1990.312C,6/13/1991,Approved,13103,Approved
1990.312V,1/24/1991,Withdawn,,Withdawn
1990.315V,12/4/1991,Approved,,Approved
1990.316V,8/27/1991,Withdawn,,Withdawn
1990.318V,4/15/1990,Approved,,Approved
1990.322V,1/23/1991,Approved,,Approved
1990.328V,1/22/1991,Approved,,Approved
1990.330A,8/7/1990,Approved,,Approved
1990.335V,9/21/1990,Approved,,Approved
1990.337A,1/16/1991,Approved,,Approved
1990.337V,6/18/1991,Approved,,Approved
1990.338P,10/25/1990,Approved,12058,Approved
1990.342V,12/4/1990,Approved,,Approved
1990.343V,11/19/1990,Approved,,Approved
1990.344C,7/26/1990,Approved,11991,Approved
1990.346D,10/18/1990,Approved,12053,Approved
1990.349D,5/23/1991,Approved,13084,Approved
1990.362C,8/15/1991,Approved,13151,Approved
1990.364C,10/24/1990,Withdawn,,Withdawn
1990.365C,2/28/1991,Approved,13027,Approved
1990.366A,1/15/1992,Withdawn,,Withdawn
1990.366C,1/15/1992,Withdawn,,Withdawn
1990.378V,3/5/1997,Approved,,Approved
1990.381C,8/30/1990,Approved,12012,Approved
1990.382C,7/26/1990,Approved,11992,Approved
