RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
2006.0248C,5/10/2010,Cancelled,,Cancelled
2006.0274D,8/10/2006,Approved,,Approved
2006.0290X,4/20/2006,Approved,17233,Approved
2006.0319D,3/23/2006,Approved,,Approved
2006.0320D,9/21/2006,Approved,,Approved
2006.0322V,6/28/2006,Disapproved,,Disapproved
2006.0326C,8/3/2006,Approved,17287,Approved
2006.0327D,9/7/2006,Approved,,Approved
2006.0327D_10,9/7/2006,Approved,,Approved
2006.0327D_13,9/7/2006,Approved,,Approved
2006.0327D_4,9/7/2006,Approved,,Approved
2006.0327D_7,9/7/2006,Approved,,Approved
2006.0328D,10/24/2006,Approved,,Approved
2006.0330D,2/28/2006,Withdawn,,Withdawn
2006.0332C,4/13/2006,Approved,17225,Approved
2006.0333D,7/13/2006,Approved,,Approved
2006.0339C,9/1/2009,Cancelled,,Cancelled
2006.0356C,10/19/2006,Approved,17326,Approved
2006.0358X,6/15/2006,Approved,17268,Approved
2006.0360C,8/10/2006,Approved,17307,Approved
2006.0362V,3/25/2008,Cancelled,,Cancelled
2006.0363A,4/20/2006,Approved,,Approved
2006.0364A,9/12/2006,Approved,,Approved
2006.0370D,1/2/2007,Withdawn,,Withdawn
2006.0372V,2/22/2010,Cancelled,,Cancelled
2006.0375D,12/7/2006,Approved,,Approved
2006.0376D,12/7/2006,Approved,,Approved
2006.0377D,4/20/2006,Approved,,Approved
2006.0378D,10/5/2006,Approved,,Approved
2006.0384B,4/6/2006,Approved,17223,Approved
2006.0385D,7/27/2006,Approved,,Approved
2006.0388D,4/19/2007,Approved,,Approved
2006.0389D,4/19/2007,Approved,,Approved
2006.0391V,5/1/2006,Cancelled,,Cancelled
2006.0396D,9/22/2008,Cancelled,,Cancelled
2006.0400D,9/11/2008,Approved,,Approved
2006.0401D,5/21/2009,Approved,,Approved
2006.0402D,5/25/2006,Withdawn,,Withdawn
2006.0406D,6/1/2006,Approved,,Approved
2006.0406D_4,6/1/2006,Approved,,Approved
2006.0407D,5/4/2006,Approved,,Approved
2006.0409D,7/20/2006,Approved,,Approved
2006.0410D,5/4/2006,Approved,,Approved
2006.0413X,8/10/2006,Approved,,Approved
2006.0414D,3/27/2006,Withdawn,,Withdawn
2006.0419C,5/4/2006,Approved,17242,Approved
2006.0428C,4/21/2011,Approved,18320,Approved
2006.0430C,6/18/2009,Approved,17906,Approved
2006.0430V,6/18/2009,Withdawn,,Withdawn
2006.0431C,12/10/2009,Approved,,Approved
2006.0432C,11/6/2008,Approved,17739,Approved
2006.0433D,3/30/2007,Withdawn,,Withdawn
2006.0445D,1/18/2007,Approved,,Approved
2006.0451A,1/18/2007,Approved,17360,Approved
2006.0451C,1/18/2007,Approved,17360,Approved
2006.0451V,1/18/2007,Approved,17360,Approved
2006.0460C,10/23/2008,Approved,17733,Approved
2006.0460C,10/23/2008,Approved,,Approved
2006.0463A,1/18/2007,Approved,,Approved
2006.0464A,7/25/2006,Approved,,Approved
2006.0468A,3/8/2007,Approved,,Approved
2006.0468C,7/13/2006,Approved,17276,Approved
2006.0472D,5/4/2006,Approved,,Approved
2006.0473C,3/22/2007,Approved,17402,Approved
2006.0478V,12/29/2007,Cancelled,,Cancelled
2006.0493A,6/14/2006,Approved,,Approved
2006.0506C,6/8/2006,Approved,17263,Approved
2006.0522C,10/12/2006,Disapproved,17321,Disapproved
2006.0523D,7/13/2006,Approved,,Approved
2006.0533C,9/29/2006,Withdawn,,Withdawn
2006.0537D,7/27/2006,Approved,,Approved
2006.0567V,6/28/2006,Approved,,Approved
2006.0570D,8/10/2006,Approved,,Approved
2006.0572C,7/19/2007,Approved,17462,Approved
2006.0584C,4/5/2007,Approved,17415,Approved
2006.0584X,4/5/2007,Approved,,Approved
2006.0586D,6/8/2006,Approved,,Approved
2006.0588A,6/15/2006,Approved,,Approved
2006.0597D,10/5/2006,Approved,,Approved
2006.0605D,7/13/2006,Approved,,Approved
2006.0606A,10/13/2006,Approved,,Approved
2006.0609A,7/26/2006,Approved,,Approved
2006.0616B,7/26/2007,Approved,,Approved
2006.0616X,7/26/2007,Approved,,Approved
2006.0618C,7/13/2006,Approved,17275,Approved
2006.0636D,7/26/2007,Approved,,Approved
2006.0636D_4,7/26/2007,Approved,,Approved
2006.0639C,6/22/2006,Approved,17271,Approved
2006.0646D,6/8/2006,Withdawn,,Withdawn
2006.0647D,7/18/2013,Approved,,Approved
2006.0647D_4,7/18/2013,Approved,,Approved
2006.0650D,9/14/2006,Approved,,Approved
2006.0660B,1/31/2008,Approved,,Approved
2006.0660X,1/31/2008,Approved,,Approved
2006.0661D,8/3/2006,Approved,,Approved
2006.0663D,6/15/2006,Approved,,Approved
2006.0665D,4/5/2007,Approved,,Approved
2006.0665D_10,4/5/2007,Approved,,Approved
2006.0665D_13,4/5/2007,Approved,,Approved
2006.0665D_16,4/5/2007,Approved,,Approved
2006.0665D_19,4/5/2007,Approved,,Approved
2006.0665D_22,4/5/2007,Approved,,Approved
2006.0665D_25,4/5/2007,Approved,,Approved
2006.0665D_28,4/5/2007,Approved,,Approved
2006.0665D_4,4/5/2007,Approved,,Approved
2006.0665D_7,4/5/2007,Approved,,Approved
2006.0668C,11/30/2006,Disapproved,17343,Disapproved
2006.0674D,6/17/2010,Approved,,Approved
2006.0676C,1/18/2007,Approved,17359,Approved
2006.0680C,10/9/2008,Withdawn,,Withdawn
2006.0687D,9/7/2006,Approved,,Approved
2006.0689D,1/31/2008,Approved,,Approved
2006.0691C,8/10/2006,Approved,,Approved
2006.0691X,8/10/2006,Approved,,Approved
2006.0697C,10/6/2006,Withdawn,,Withdawn
2006.0697P,10/6/2006,Withdawn,,Withdawn
2006.0707D,2/26/2008,Cancelled,,Cancelled
2006.0724D,11/2/2006,Cancelled,,Cancelled
2006.0734C,5/31/2007,Approved,17434,Approved
2006.0741C,6/7/2007,Approved,17438,Approved
2006.0742A,6/22/2006,Approved,,Approved
2006.0745C,8/3/2006,Approved,17288,Approved
2006.0747A,3/24/2008,Cancelled,,Cancelled
2006.0749A,11/14/2006,Approved,,Approved
2006.0751D,10/19/2006,Approved,,Approved
2006.0756C,2/8/2007,Withdawn,,Withdawn
2006.0766X,5/10/2007,Approved,,Approved
2006.0777A,9/12/2006,Approved,,Approved
2006.0788A,7/6/2007,Approved,,Approved
2006.0797C,11/2/2006,Approved,17330,Approved
2006.0798C,2/1/2007,Approved,17368,Approved
2006.0799C,3/13/2008,Approved,,Approved
2006.0803D,7/13/2006,Approved,,Approved
2006.0810C,4/17/2008,Approved,17583,Approved
2006.0818C,1/16/2007,Withdawn,,Withdawn
2006.0819D,1/17/2008,Withdawn,,Withdawn
2006.0822D,11/9/2006,Approved,,Approved
2006.0824D,9/21/2006,Approved,,Approved
2006.0825C,9/17/2009,Approved,17951,Approved
2006.0826C,2/5/2009,Approved,,Approved
2006.0828C,5/29/2008,Approved,,Approved
2006.0831C,1/18/2007,Approved,17358,Approved
2006.0833D,12/14/2006,Approved,,Approved
2006.0834D,10/19/2006,Approved,,Approved
2006.0838V,9/27/2006,Approved,,Approved
2006.0847D,12/13/2007,Approved,,Approved
2006.0848C,4/7/2011,Approved,,Approved
2006.0854D,9/21/2006,Approved,,Approved
2006.0856C,6/21/2007,Approved,17450,Approved
2006.0858D,6/9/2011,Approved,,Approved
2006.0859C,10/5/2006,Approved,17319,Approved
2006.0864C,8/15/2006,Cancelled,,Cancelled
2006.0864C_3,10/2/2008,Approved,17706,Approved
2006.0866C,3/11/2009,Cancelled,,Cancelled
2006.0868C,4/28/2011,Approved,18342,Approved
2006.0880D,4/9/2007,Withdawn,,Withdawn
2006.0881C,12/18/2008,Approved,17789,Approved
2006.0881C,12/18/2008,Approved,17787,Approved
2006.0881V,12/18/2008,Approved,,Approved
2006.0881V,12/18/2008,Approved,17787,Approved
2006.0882A,3/15/2007,Approved,17396,Approved
2006.0884C,5/21/2009,Approved,,Approved
2006.0886V,3/25/2008,Cancelled,,Cancelled
2006.0890D,6/9/2011,Approved,,Approved
2006.0892C,9/27/2007,Approved,17477,Approved
2006.0893C,10/19/2006,Approved,17322,Approved
2006.0896C,10/19/2006,Approved,17324,Approved
2006.0898D,10/12/2006,Approved,,Approved
2006.0923D,2/15/2007,Approved,,Approved
2006.0923D_4,2/2/2007,Withdawn,,Withdawn
2006.0924D,9/21/2006,Approved,,Approved
2006.0933D,8/18/2006,Withdawn,,Withdawn
2006.0934C,7/25/2011,Cancelled,,Cancelled
2006.0952D,10/5/2006,Approved,,Approved
2006.0960V,8/13/2007,Approved,,Approved
2006.0961A,10/20/2006,Approved,,Approved
2006.0965D,9/20/2007,Approved,,Approved
2006.0965D_4,9/20/2007,Approved,,Approved
2006.0974D,7/7/2011,Approved,,Approved
2006.0995D,9/2/2010,Approved,,Approved
2006.0997C,1/10/2008,Approved,,Approved
2006.1000D,12/1/2006,Approved,,Approved
2006.1008C,2/8/2007,Approved,17370,Approved
2006.1015D,10/16/2006,Withdawn,,Withdawn
2006.1017D,9/21/2006,Withdawn,,Withdawn
2006.1030A,1/9/2007,Approved,,Approved
2006.1040C,11/2/2006,Approved,17331,Approved
2006.1051A,9/26/2006,Approved,,Approved
2006.1059D,1/18/2007,Approved,,Approved
2006.1064D,1/25/2007,Approved,,Approved
2006.1068C,10/5/2006,Approved,17315,Approved
2006.1075D,11/7/2007,Approved,,Approved
2006.1080C,6/14/2007,Approved,17449,Approved
2006.1085D,1/18/2007,Approved,,Approved
2006.1087C,4/5/2007,Approved,17412,Approved
2006.1090C,2/1/2007,Approved,17369,Approved
2006.1090C,2/1/2007,Approved,17369,Approved
2006.1095C,4/26/2007,Approved,17422,Approved
2006.1098A,9/26/2006,Approved,,Approved
2006.1102D,2/19/2009,Approved,DRA-0063,Approved
2006.1106B,8/12/2010,Approved,,Approved
2006.1106X,8/12/2010,Approved,,Approved
2006.1114D,10/24/2006,Withdawn,,Withdawn
2006.1115A,11/18/2006,Approved,,Approved
2006.1131C,3/22/2007,Approved,17399,Approved
2006.1148C,10/11/2007,Approved,17499,Approved
2006.1152D,9/29/2006,Approved,,Approved
2006.1203C,2/22/2007,Approved,17381,Approved
2006.1209A,11/18/2006,Approved,,Approved
2006.1212B,11/2/2007,Approved,17333,Approved
2006.1213C,8/14/2008,Approved,,Approved
2006.1216B,11/2/2006,Approved,17332,Approved
2006.1218C,2/8/2007,Approved,17374,Approved
2006.1219C,3/22/2007,Approved,17398,Approved
2006.1223V,2/1/2010,Withdawn,,Withdawn
2006.1225A,3/7/2007,Approved,,Approved
2006.1227C,5/15/2008,Approved,,Approved
2006.1230C,1/3/2007,Withdawn,,Withdawn
2006.1231D,11/9/2006,Approved,,Approved
2006.1235A,10/20/2006,Approved,,Approved
2006.1248C,11/8/2008,Approved,,Approved
2006.1248V,11/8/2008,Approved,,Approved
2006.1248X,11/8/2007,Approved,,Approved
2006.1257D,3/23/2007,Withdawn,,Withdawn
2006.1267C,2/8/2007,Approved,17372,Approved
2006.1272D,2/15/2007,Approved,,Approved
2006.1273B,8/2/2007,Approved,,Approved
2006.1273X,8/2/2007,Approved,17469,Approved
2006.1274B,5/20/2010,Cancelled,,Cancelled
2006.1281C,4/6/2007,Cancelled,,Cancelled
2006.1286D,2/15/2007,Approved,,Approved
2006.1287D,5/28/2009,Approved,,Approved
2006.1292A,11/18/2006,Approved,,Approved
2006.1294B,12/30/2009,Withdawn,,Withdawn
2006.1294B,1/15/2009,Approved,,Approved
2006.1294X,12/30/2009,Withdawn,,Withdawn
2006.1294X,2/15/2009,Approved,,Approved
2006.1301A,11/16/2006,Approved,,Approved
2006.1303C,6/21/2007,Approved,17451,Approved
2006.1310C,12/3/2008,Cancelled,,Cancelled
2006.1311D,12/3/2008,Cancelled,,Cancelled
2006.1333D,1/11/2007,Approved,,Approved
2006.1337D,1/14/2009,Withdawn,,Withdawn
2006.1340D,5/10/2007,Approved,,Approved
2006.1347C,3/22/2007,Approved,17403,Approved
2006.1348C,6/17/2010,Approved,18108,Approved
2006.1349C,11/8/2010,Cancelled,,Cancelled
2006.1349V,11/8/2010,Cancelled,,Cancelled
2006.1355D,11/8/2007,Approved,,Approved
2006.1355D_4,11/8/2007,Approved,,Approved
2006.1356C,7/19/2007,Approved,17461,Approved
2006.1356D,7/19/2007,Approved,,Approved
2006.1358D,3/8/2007,Approved,,Approved
2006.1360D,3/8/2007,Approved,,Approved
2006.1362D,12/6/2007,Approved,,Approved
2006.1363A,4/2/2007,Approved,,Approved
2006.1381C,5/12/2009,Cancelled,,Cancelled
2006.1396D,5/24/2007,Approved,,Approved
2006.1408C,2/15/2007,Approved,17376,Approved
2006.1409D,12/11/2008,Approved,,Approved
2006.1413D,10/11/2007,Approved,,Approved
2006.1414C,6/7/2007,Approved,17437,Approved
2006.1415D,4/5/2007,Approved,,Approved
2006.1418D,2/1/2007,Disapproved,,Disapproved
2006.1419X,5/22/2008,Approved,,Approved
2006.1419X_3,5/22/2008,Approved,,Approved
2006.1422D,7/10/2008,Approved,,Approved
2006.1429D,4/18/2007,Withdawn,,Withdawn
2006.1431C,6/4/2009,Approved,17894,Approved
2006.1453C,1/7/2009,Cancelled,,Cancelled
2006.1454C,10/18/2007,Approved,,Approved
2006.1464C,2/22/2007,Approved,17377,Approved
2006.1464X,2/22/2007,Approved,17378,Approved
2006.1469A,12/13/2007,Approved,,Approved
2006.1470D,7/10/2008,Approved,,Approved
2006.1472C,3/8/2007,Approved,17390,Approved
2006.1474C,5/17/2007,Approved,17427,Approved
2006.1474C,5/17/2007,Approved,17427,Approved
2006.1475D,4/3/2007,Withdawn,,Withdawn
2006.1478D,4/4/2007,Withdawn,,Withdawn
2006.1487C,2/22/2007,Approved,17384,Approved
2006.1488D,4/26/2007,Approved,,Approved
2006.1488D_10,4/26/2007,Approved,,Approved
2006.1488D_4,4/26/2007,Approved,,Approved
2006.1488D_7,4/26/2007,Approved,,Approved
2006.1489D,3/21/2007,Approved,,Approved
2006.1502C,4/26/2007,Approved,17424,Approved
2006.1509B,8/8/2013,Cancelled,,Cancelled
2006.1509B,3/22/2007,Approved,17401,Approved
2006.1511C,2/22/2007,Approved,17382,Approved
2006.1515C,3/22/2007,Approved,17404,Approved
2006.1516C,2/8/2007,Approved,17375,Approved
2006.1518D,2/8/2007,Approved,,Approved
2006.1519D,5/1/2008,Approved,,Approved
2006.1519V,5/1/2008,Approved,,Approved
2006.1524B,2/10/2011,Approved,18267,Approved
2006.1524X,2/10/2011,Approved,18268,Approved
2006.1525C,1/17/2008,Approved,,Approved
2006.1528D,2/8/2007,Approved,,Approved
2006.1529A,1/23/2007,Approved,,Approved
