RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
2006.0005C,3/2/2006,Approved,17198,Approved
2006.0008C,1/25/2006,Withdawn,,Withdawn
2006.0046D,4/10/2006,Withdawn,,Withdawn
2006.0054C,12/16/2010,Approved,18248,Approved
2006.0056C,11/8/2007,Approved,17510,Approved
2006.0057D,6/15/2006,Approved,,Approved
2006.0059D,9/14/2006,Approved,,Approved
2006.0064A,5/10/2006,Approved,,Approved
2006.0068D,1/4/2006,Withdawn,,Withdawn
2006.0068D_4,1/4/2006,Withdawn,,Withdawn
2006.0068D_7,1/4/2006,Withdawn,,Withdawn
2006.0071D,5/8/2006,Withdawn,,Withdawn
2006.0073C,11/30/2006,Approved,17341,Approved
2006.0076D,4/6/2006,Approved,,Approved
2006.0079D,3/9/2006,Approved,,Approved
2006.0081D,2/8/2006,Withdawn,,Withdawn
2006.0083D,9/6/2006,Approved,,Approved
2006.0085D,2/28/2006,Withdawn,,Withdawn
2006.0087D,6/22/2006,Approved,,Approved
2006.0088C,4/6/2006,Approved,17220,Approved
2006.0100C,6/8/2006,Approved,17262,Approved
2006.0102D,1/11/2007,Approved,,Approved
2006.0105D,3/9/2006,Approved,,Approved
2006.0106C,8/2/2007,Approved,17468,Approved
2006.0107C,9/20/2007,Approved,,Approved
2006.0108A,3/8/2007,Approved,,Approved
2006.0113D,3/16/2006,Approved,,Approved
2006.0113D_4,3/16/2006,Approved,,Approved
2006.0121D,3/1/2006,Approved,,Approved
2006.0122D,6/8/2006,Approved,,Approved
2006.0123C,7/25/2011,Cancelled,,Cancelled
2006.0124C,4/20/2006,Withdawn,,Withdawn
2006.0127C,7/13/2006,Approved,17277,Approved
2006.0129D,10/18/2007,Approved,,Approved
2006.0133C,3/2/2006,Approved,17197,Approved
2006.0134X,1/11/2007,Approved,17354,Approved
2006.0135C,3/11/2009,Cancelled,,Cancelled
2006.0142A,4/11/2006,Approved,,Approved
2006.0143C,5/11/2006,Approved,17243,Approved
2006.0144C,4/4/2013,Cancelled,,Cancelled
2006.0144V,4/4/2013,Cancelled,,Cancelled
2006.0147X,3/9/2006,Approved,17204,Approved
2006.0157C,8/2/2007,Approved,17472,Approved
2006.0186A,2/28/2006,Approved,,Approved
2006.0187C,4/20/2006,Approved,17228,Approved
2006.0204C,9/28/2006,Approved,17311,Approved
2006.0205D,9/21/2006,Approved,,Approved
2006.0208C,5/24/2007,Approved,17433,Approved
2006.0209D,4/20/2006,Approved,,Approved
2006.0210D,10/5/2006,Approved,,Approved
2006.0214D,3/23/2006,Approved,,Approved
2006.0218D,4/27/2006,Approved,,Approved
