RECORD_ID,REGISTER,STR
2015-004023STR,STR-0000187,187
2015-003777STR,STR-0000188,188
2015-003290STR,STR-0000189,189
2015-004271STR,STR-0000190,190
2015-003890STR,STR-0000191,191
2015-004058STR,STR-0000192,192
2015-004621STR,STR-0000193,193
2015-003904STR,STR-0000194,194
2015-002668STR,STR-0000195,195
2015-004169STR,STR-0000196,196
2015-004270STR,STR-0000197,197
2015-003538STR,STR-0000198,198
2015-003778STR,STR-0000199,199
2015-002565STR,STR-0000200,200
2015-002030STR,STR-0000201,201
2015-002025STR,STR-0000202,202
2015-002057STR,STR-0000203,203
2015-002782STR,STR-0000204,204
2015-002781STR,STR-0000205,205
2015-003075STR,STR-0000206,206
2015-003218STR,STR-0000207,207
2015-003510STR,STR-0000208,208
2015-003054STR,STR-0000209,209
2015-003048STR,STR-0000210,210
2015-003017STR,STR-0000211,211
2015-003096STR,STR-0000212,212
2015-003854STR,STR-0000213,213
2015-003384STR,STR-0000214,214
2015-003562STR,STR-0000215,215
2015-003412STR,STR-0000216,216
2015-003395STR,STR-0000217,217
2015-003418STR,STR-0000218,218
2015-003422STR,STR-0000219,219
2015-003409STR,STR-0000220,220
2015-002594STR,STR-0000221,221
2015-003475STR,STR-0000222,222
2015-003425STR,STR-0000223,223
2015-002259STR,STR-0000224,224
2015-003518STR,STR-0000225,225
2015-003517STR,STR-0000226,226
2015-003389STR,STR-0000227,227
2015-003391STR,STR-0000228,228
2015-003393STR,STR-0000229,229
2015-003394STR,STR-0000230,230
2015-003398STR,STR-0000231,231
2015-003968STR,STR-0000232,232
2015-002106STR,STR-0000233,233
2015-003400STR,STR-0000234,234
2015-003402STR,STR-0000235,235
2015-003408STR,STR-0000236,236
2015-003396STR,STR-0000237,237
2015-003390STR,STR-0000238,238
2015-001538STR,STR-0000239,239
2015-003410STR,STR-0000240,240
2015-003480STR,STR-0000241,241
2015-003474STR,STR-0000242,242
2015-003430STR,STR-0000243,243
2015-003419STR,STR-0000244,244
2015-003427STR,STR-0000245,245
2015-003417STR,STR-0000246,246
2015-003082STR,STR-0000247,247
2015-004017STR,STR-0000248,248
2015-004007STR,STR-0000249,249
2015-004046STR,STR-0000250,250
2015-004163STR,STR-0000251,251
2015-003982STR,STR-0000252,252
2015-004013STR,STR-0000253,253
2015-004050STR,STR-0000254,254
2015-004121STR,STR-0000255,255
2015-004161STR,STR-0000256,256
2015-004095STR,STR-0000257,257
2015-004134STR,STR-0000258,258
2015-004097STR,STR-0000259,259
2015-004190STR,STR-0000260,260
2015-003318STR,STR-0000261,261
2015-004473STR,STR-0000262,262
2015-003481STR,STR-0000263,263
2015-003503STR,STR-0000264,264
2015-003392STR,STR-0000265,265
2015-003433STR,STR-0000266,266
2015-004101STR,STR-0000267,267
2015-004090STR,STR-0000268,268
2015-003701STR,STR-0000269,269
2015-003735STR,STR-0000270,270
2015-003743STR,STR-0000271,271
2015-003676STR,STR-0000272,272
2015-003808STR,STR-0000273,273
2015-003723STR,STR-0000274,274
2015-002978STR,STR-0000275,275
2015-004438STR,STR-0000276,276
2015-003961STR,STR-0000277,277
2015-003534STR,STR-0000278,278
2015-005290STR,STR-0000279,279
2015-003272STR,STR-0000280,280
2015-004593STR,STR-0000281,281
2015-003354STR,STR-0000282,282
2015-003450STR,STR-0000283,283
2015-003461STR,STR-0000284,284
2015-004037STR,STR-0000285,285
2015-004019STR,STR-0000286,286
2015-003602STR,STR-0000287,287
2015-003615STR,STR-0000288,288
2015-003622STR,STR-0000289,289
2015-003627STR,STR-0000290,290
2015-003633STR,STR-0000291,291
2015-004087STR,STR-0000292,292
2015-004069STR,STR-0000293,293
2015-003684STR,STR-0000294,294
2015-003435STR,STR-0000295,295
2015-003407STR,STR-0000296,296
2015-003501STR,STR-0000297,297
2015-003495STR,STR-0000298,298
2015-003489STR,STR-0000299,299
2015-001763STR,STR-0000300,300
2015-001993STR,STR-0000301,301
2015-004505STR,STR-0000302,302
2015-003100STR,STR-0000303,303
2015-004430STR,STR-0000304,304
2015-004092STR,STR-0000305,305
2015-005169STR,STR-0000306,306
2015-003963STR,STR-0000307,307
2015-004112STR,STR-0000308,308
2015-003505STR,STR-0000309,309
2015-003769STR,STR-0000310,310
2015-003802STR,STR-0000311,311
2015-003738STR,STR-0000312,312
2015-004176STR,STR-0000313,313
2015-004174STR,STR-0000314,314
2015-004189STR,STR-0000315,315
2015-003241STR,STR-0000316,316
2015-003004STR,STR-0000317,317
2015-002320STR,STR-0000318,318
2015-004376STR,STR-0000319,319
2015-002284STR,STR-0000320,320
2015-002972STR,STR-0000321,321
2015-004054STR,STR-0000322,322
2015-001425STR,STR-0000323,323
2015-002990STR,STR-0000324,324
2015-003013STR,STR-0000325,325
2015-003448STR,STR-0000326,326
2015-005634STR,STR-0000327,327
2015-005630STR,STR-0000328,328
2016-003949STR,STR-0000329,329
2015-004285STR,STR-0000330,330
2015-004233STR,STR-0000331,331
2015-003429STR,STR-0000332,332
2015-005157STR,STR-0000333,333
2015-005186STR,STR-0000334,334
2015-005185STR,STR-0000335,335
2015-005449STR,STR-0000336,336
2015-005162STR,STR-0000337,337
2015-005148STR,STR-0000338,338
2015-005153STR,STR-0000339,339
2015-005149STR,STR-0000340,340
2015-005143STR,STR-0000341,341
2015-005451STR,STR-0000342,342
2015-005343STR,STR-0000343,343
2015-005340STR,STR-0000344,344
2015-002551STR,STR-0000345,345
2015-001824STR,STR-0000346,346
2015-006493STR,STR-0000347,347
2015-003895STR,STR-0000348,348
2015-004483STR,STR-0000349,349
2015-003867STR,STR-0000350,350
2015-003869STR,STR-0000351,351
2015-003859STR,STR-0000352,352
2015-003856STR,STR-0000353,353
2015-004193STR,STR-0000354,354
2015-004730STR,STR-0000355,355
2015-004042STR,STR-0000356,356
2015-004063STR,STR-0000357,357
2015-003416STR,STR-0000358,358
2015-003018STR,STR-0000359,359
2015-003401STR,STR-0000360,360
2015-004143STR,STR-0000361,361
2015-003405STR,STR-0000362,362
2015-004469STR,STR-0000363,363
2015-002163STR,STR-0000364,364
2015-003488STR,STR-0000365,365
2015-004051STR,STR-0000366,366
2015-003864STR,STR-0000367,367
2015-003466STR,STR-0000368,368
2015-001749STR,STR-0000369,369
2015-001778STR,STR-0000370,370
2015-003463STR,STR-0000371,371
2015-001642STR,STR-0000372,372
2015-002058STR,STR-0000373,373
2015-004477STR,STR-0000374,374
