RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
2008.0719D,11/5/2009,Approved,,Approved
2008.0719D,11/5/2009,Approved,,Approved
2008.0720A,11/25/2008,Approved,,Approved
2008.0720C,2/19/2009,Disapproved,17827,Disapproved
2008.0724D,9/11/2008,Approved,,Approved
2008.0727D,2/19/2009,Withdawn,,Withdawn
2008.0729D,2/5/2009,Approved,DRA-0059,Approved
2008.0730D,2/5/2009,Approved,DRA-0060,Approved
2008.0731D,11/19/2012,Withdawn,,Withdawn
2008.0733C,4/2/2009,Approved,,Approved
2008.0752D,10/23/2008,Approved,,Approved
2008.0762C,7/12/2012,Approved,18664,Approved
2008.0786D_4,8/20/2008,Withdawn,,Withdawn
2008.0788C,7/16/2009,Approved,,Approved
2008.0793C,9/18/2008,Approved,,Approved
2008.0794C,6/17/2010,Approved,,Approved
2008.0797C,7/22/2010,Approved,18154,Approved
2008.0798V,5/24/2010,Cancelled,,Cancelled
2008.0800D,8/19/2009,Cancelled,,Cancelled
2008.0800D_4,8/19/2009,Cancelled,,Cancelled
2008.0801X,11/29/2012,Approved,18753,Approved
2008.0804D,9/9/2008,Withdawn,,Withdawn
2008.0805D,9/4/2008,Approved,,Approved
2008.0806A,9/10/2008,Approved,,Approved
2008.0808D,11/13/2008,Approved,DRA-0035,Approved
2008.0814V,10/1/2008,Approved,,Approved
2008.0850B,10/2/2008,Approved,17709,Approved
2008.0852C,9/11/2008,Approved,17690,Approved
2008.0852C,9/11/2008,Approved,,Approved
2008.0853C,11/13/2008,Approved,,Approved
2008.0855A,8/21/2008,Approved,,Approved
2008.0858D,11/5/2008,Withdawn,,Withdawn
2008.0858D_4,11/5/2008,Withdawn,,Withdawn
2008.0860D,12/23/2008,Withdawn,,Withdawn
2008.0861C,9/4/2008,Approved,17687,Approved
2008.0862C,3/12/2009,Approved,17840,Approved
2008.0863C,7/22/2008,Cancelled,,Cancelled
2008.0868D,12/11/2008,Approved,DRA-0050,Approved
2008.0868D_4,12/11/2008,Approved,DRA-0050,Approved
2008.0871D,8/5/2010,Approved,,Approved
2008.0871D_4,4/23/2010,Withdawn,,Withdawn
2008.0871V,4/23/2010,Withdawn,,Withdawn
2008.0875C,10/2/2008,Approved,,Approved
2008.0881D,11/13/2008,Approved,,Approved
2008.0899D,12/18/2008,Approved,,Approved
2008.0938C,2/23/2010,Cancelled,,Cancelled
2008.0940C,4/16/2009,Approved,,Approved
2008.0941D,11/13/2008,Approved,DRA-0035,Approved
2008.0942D,8/27/2008,Withdawn,,Withdawn
2008.0955A,12/8/2008,Approved,,Approved
2008.0956C,10/23/2008,Approved,,Approved
2008.0965C,10/16/2008,Approved,,Approved
2008.0969D,9/16/2008,Withdawn,,Withdawn
2008.0971D,3/1/2011,Withdawn,,Withdawn
2008.0972V,5/21/2009,Cancelled,,Cancelled
2008.0975A,12/10/2008,Approved,,Approved
2008.0978A,9/5/2008,Approved,,Approved
2008.0982D,12/4/2008,Approved,,Approved
2008.0988C,11/20/2008,Adopted,,Approved
2008.0992C,3/25/2010,Approved,,Approved
2008.0996C,8/13/2009,Approved,,Approved
2008.0998D,11/20/2008,Approved,,Approved
2008.1006C,2/27/2013,Withdawn,,Withdawn
2008.1014C,5/19/2011,Approved,,Approved
2008.1030C,2/9/2009,Withdawn,,Withdawn
2008.1033C,10/23/2008,Approved,17722,Approved
2008.1040V,10/28/2010,Withdawn,,Withdawn
2008.1043D,12/4/2008,Approved,,Approved
2008.1044A,10/8/2008,Approved,,Approved
2008.1058D,2/5/2009,Withdawn,,Withdawn
2008.1060D,4/6/2009,Cancelled,,Cancelled
2008.1061C,3/17/2009,Cancelled,,Cancelled
2008.1073A,11/13/2008,Approved,,Approved
2008.1076C,8/10/2011,Cancelled,,Cancelled
2008.1082C,9/22/2008,Cancelled,,Cancelled
2008.1083X,11/13/2008,Approved,17745,Approved
2008.1084X,5/23/2013,Approved,18894,Approved
2008.1084X_3,5/23/2013,Approved,18894,Approved
2008.1093D,11/20/2008,Approved,,Approved
2008.1106D,11/20/2008,Approved,,Approved
2008.1110C,11/19/2009,Approved,17985,Approved
2008.1117C,11/17/2008,Cancelled,,Cancelled
2008.1122P,12/19/2013,Approved,19053,Approved
2008.1146A,10/20/2008,Approved,,Approved
2008.1150C,1/15/2009,Approved,,Approved
2008.1157C,10/15/2009,Approved,17964,Approved
2008.1160D,5/15/2009,Cancelled,,Cancelled
2008.1161C,5/14/2009,Approved,,Approved
2008.1172D,11/20/2008,Approved,,Approved
2008.1174C,11/17/2010,Cancelled,,Cancelled
2008.1175D,3/30/2009,Withdawn,,Withdawn
2008.1176A,11/25/2008,Approved,,Approved
2008.1185A,12/3/2008,Approved,,Approved
2008.1195C,12/4/2008,Approved,17770,Approved
2008.1196C,1/15/2009,Approved,17801,Approved
2008.1199C,12/4/2008,Adopted,,Approved
2008.1203D,3/24/2009,Approved,,Approved
2008.1209D,2/19/2009,Approved,DRA-0064,Approved
2008.1212D,1/24/2009,Withdawn,,Withdawn
2008.1215C,4/9/2009,Disapproved,17858,Disapproved
2008.1218C,6/23/2011,Approved,,Approved
2008.1221D,11/20/2008,Approved,,Approved
2008.1227D,6/4/2010,Approved,,Approved
2008.1228C,2/24/2010,Withdawn,N/A,Withdawn
2008.1234C,7/15/2010,Approved,18142,Approved
2008.1258D,1/5/2009,Approved,,Approved
2008.1265C,1/15/2009,Approved,,Approved
2008.1279A,12/19/2008,Approved,,Approved
2008.1282D,1/8/2009,Approved,,Approved
2008.1283D,4/6/2009,Cancelled,,Cancelled
2008.1285D,12/18/2008,Approved,,Approved
2008.1287D,2/19/2009,Approved,DRA-0065,Approved
2008.1288A,1/5/2009,Approved,,Approved
2008.1289C,2/26/2009,Approved,,Approved
2008.1291C,7/8/2010,Approved,,Approved
2008.1296P,3/19/2009,Approved,17841,Approved
2008.1298D,9/29/2009,Withdawn,,Withdawn
2008.1308D,7/9/2009,Approved,,Approved
2008.1309D,3/26/2009,Approved,DRA-0072,Approved
2008.1332C,2/4/2010,Approved,,Approved
2008.1335C,6/10/2011,Cancelled,,Cancelled
2008.1337C,2/12/2009,Approved,,Approved
2008.1340D,2/5/2009,Approved,,Approved
2008.1341C,7/23/2009,Approved,,Approved
2008.1342D,7/21/2011,Approved,,Approved
2008.1346A,12/19/2008,Approved,,Approved
2008.1347C,2/19/2009,Approved,,Approved
2008.1349D,10/22/2009,Approved,DRA-0115,Approved
2008.1351D,6/2/2009,Approved,,Approved
2008.1354C,9/3/2009,Approved,17945,Approved
2008.1356C,2/19/2009,Approved,,Approved
2008.1364D,2/26/2009,Approved,,Approved
2008.1382D,3/24/2009,Approved,,Approved
2008.1383D,4/23/2009,Approved,DRA-0078,Approved
2008.1395X,10/6/2011,Approved,18459,Approved
2008.1397D,4/23/2009,Approved,DRA-0077,Approved
2008.1401C,5/7/2009,Approved,,Approved
2008.1405D,9/30/2010,Approved,,Approved
2008.1406D,9/30/2010,Approved,,Approved
2008.1406V,9/30/2010,Approved,,Approved
2008.1407D,3/22/2009,Withdawn,,Withdawn
2008.1408C,2/26/2009,Approved,,Approved
2009.0003D,11/12/2009,Approved,,Approved
2009.0003D_10,11/12/2009,Approved,,Approved
2009.0003D_13,11/12/2009,Approved,,Approved
2009.0003D_16,11/12/2009,Approved,,Approved
2009.0003D_19,11/12/2009,Approved,,Approved
2009.0003D_4,11/12/2009,Approved,,Approved
2009.0003D_7,11/12/2009,Approved,,Approved
2009.0005D,4/9/2009,Approved,,Approved
