"RECORD ID","DATE STATUS","DATE CLOSED","RECORD STATUS DATE","RECORD STATUS"
"2018-010412STR","7/30/2018","7/30/2018","7/30/2018","Closed - Complete"
"2018-010420STR","7/30/2018","7/30/2018","7/30/2018","Closed - Complete"
"2018-010437STR","7/30/2018","7/30/2018","7/30/2018","Closed - Complete"
"2018-010457STR","7/31/2018","7/31/2018","7/31/2018","Closed - Complete"
"2018-010478STR","7/31/2018","7/31/2018","7/31/2018","Closed - Complete"
"2018-010484STR","7/31/2018","7/31/2018","7/31/2018","Closed - Complete"
"2018-010495STR","7/31/2018","7/31/2018","7/31/2018","Closed - Complete"
"2018-010503STR","7/31/2018","7/31/2018","7/31/2018","Closed - Complete"
"2018-010512STR","7/31/2018","7/31/2018","7/31/2018","Closed - Complete"
"2018-010518STR","8/1/2018","8/1/2018","8/1/2018","Closed - Complete"
"2018-010522STR","8/2/2018","8/2/2018","8/2/2018","Closed - Complete"
"2018-010523STR","8/2/2018","8/2/2018","8/2/2018","Closed - Complete"
"2018-010526STR","1/3/2019","1/3/2019","1/3/2019","Closed - Complete"
"2018-010527STR","10/24/2018","10/24/2018","10/24/2018","Closed - Complete"
"2018-010554STR","1/18/2019","1/18/2019","1/18/2019","Closed - Complete"
"2018-010584STR","8/2/2018","8/2/2018","8/2/2018","Closed - Complete"
"2018-010676STR","8/21/2018","8/21/2018","8/21/2018","Closed - Complete"
"2018-010684STR","1/15/2019","1/15/2019","1/15/2019","Closed - Complete"
"2018-010731STR","4/5/2019","4/5/2019","4/5/2019","Closed - Complete"
"2018-010733STR","8/3/2018","8/3/2018","8/3/2018","Closed - Complete"
"2018-010745STR","8/6/2018","8/6/2018","8/6/2018","Closed - Complete"
"2018-010754STR","8/6/2018","8/6/2018","8/6/2018","Closed - Complete"
"2018-010767STR","9/6/2018","9/6/2018","9/6/2018","Closed - Complete"
"2018-010774STR","8/6/2018","8/6/2018","8/6/2018","Closed - Complete"
"2018-010795STR","8/6/2018","8/6/2018","8/6/2018","Closed - Complete"
"2018-010796STR","8/7/2018","8/7/2018","8/7/2018","Closed - Complete"
"2018-010833STR","8/7/2018","8/7/2018","8/7/2018","Closed - Complete"
"2018-010837STR","8/7/2018","8/7/2018","8/7/2018","Closed - Complete"
"2018-010842STR","8/7/2018","8/7/2018","8/7/2018","Closed - Complete"
"2018-010868STR","12/4/2018","12/4/2018","12/4/2018","Closed - Complete"
"2018-010872STR","8/7/2018","8/7/2018","8/7/2018","Closed - Complete"
"2018-011108STR","8/13/2018","8/13/2018","8/13/2018","Closed - Complete"
"2018-011129STR","8/14/2018","8/14/2018","8/14/2018","Closed - Complete"
"2018-011150STR","2/15/2019","2/15/2019","2/15/2019","Closed - Complete"
"2018-011154STR","8/14/2018","8/14/2018","8/14/2018","Closed - Complete"
"2018-011220STR","5/1/2019","5/1/2019","5/1/2019","Closed - Complete"
"2018-011259STR","8/16/2018","8/16/2018","8/16/2018","Closed - Complete"
"2018-011261STR","9/10/2018","9/10/2018","9/10/2018","Closed - Complete"
"2018-011264STR","8/15/2018","8/15/2018","8/15/2018","Closed - Complete"
"2018-011390STR","4/9/2019","4/9/2019","4/9/2019","Closed - Complete"
"2018-011491STR","8/21/2018","8/21/2018","8/21/2018","Closed - Complete"
"2018-011513STR","8/24/2018","8/24/2018","8/24/2018","Closed - Complete"
"2018-011524STR","8/23/2018","8/23/2018","8/23/2018","Closed - Complete"
"2018-011527STR","8/23/2018","8/23/2018","8/23/2018","Closed - Complete"
"2018-011532STR","8/23/2018","8/23/2018","8/23/2018","Closed - Complete"
"2018-011535STR","2/25/2019","2/25/2019","2/25/2019","Closed - Complete"
"2018-011694STR","8/27/2018","8/27/2018","8/27/2018","Closed - Complete"
"2018-011719STR","8/28/2018","8/28/2018","8/28/2018","Closed - Complete"
"2018-011736STR","10/24/2018","10/24/2018","10/24/2018","Closed - Complete"
"2018-011741STR","8/28/2018","8/28/2018","8/28/2018","Closed - Complete"
"2018-011764STR","8/28/2018","8/28/2018","8/28/2018","Closed - Complete"
"2018-011778STR","8/28/2018","8/28/2018","8/28/2018","Closed - Complete"
"2018-011779STR","8/28/2018","8/28/2018","8/28/2018","Closed - Complete"
"2018-011780STR","8/28/2018","8/28/2018","8/28/2018","Closed - Complete"
"2018-011781STR","8/28/2018","8/28/2018","8/28/2018","Closed - Complete"
"2018-011784STR","8/28/2018","8/28/2018","8/28/2018","Closed - Complete"
"2018-011830STR","7/2/2019","7/2/2019","7/2/2019","Closed - Complete"
"2018-011833STR","8/30/2018","8/30/2018","8/30/2018","Closed - Complete"
"2018-011840STR","8/30/2018","8/30/2018","8/30/2018","Closed - Complete"
"2018-011843STR","9/27/2018","9/27/2018","9/27/2018","Closed - Complete"
"2018-011848STR","8/30/2018","8/30/2018","8/30/2018","Closed - Complete"
"2018-011852STR","8/30/2018","8/30/2018","8/30/2018","Closed - Complete"
"2018-011863STR","8/29/2018","8/29/2018","8/29/2018","Closed - Complete"
"2018-011869STR","9/11/2018","9/11/2018","9/11/2018","Closed - Complete"
"2018-011874STR","8/30/2018","8/30/2018","8/30/2018","Closed - Complete"
"2018-011880STR","8/30/2018","8/30/2018","8/30/2018","Closed - Complete"
"2018-011932STR","11/8/2018","11/8/2018","11/8/2018","Closed - Complete"
"2018-011953STR","8/31/2018","8/31/2018","8/31/2018","Closed - Complete"
"2018-011971STR","8/31/2018","8/31/2018","8/31/2018","Closed - Complete"
"2018-012057STR","9/4/2018","9/4/2018","9/4/2018","Closed - Complete"
"2018-012104STR","9/17/2018","9/17/2018","9/17/2018","Closed - Complete"
"2018-012115STR","9/6/2018","9/6/2018","9/6/2018","Closed - Complete"
"2018-012117STR","9/6/2018","9/6/2018","9/6/2018","Closed - Complete"
"2018-012137STR","9/25/2018","9/25/2018","9/25/2018","Closed - Complete"
"2018-012163STR","9/6/2018","9/6/2018","9/6/2018","Closed - Complete"
"2018-012234STR","9/6/2018","9/6/2018","9/6/2018","Closed - Complete"
"2018-012242STR","9/6/2018","9/6/2018","9/6/2018","Closed - Complete"
"2018-012244STR","9/6/2018","9/6/2018","9/6/2018","Closed - Complete"
"2018-012245STR","9/6/2018","9/6/2018","9/6/2018","Closed - Complete"
"2018-012271STR","9/7/2018","9/7/2018","9/7/2018","Closed - Complete"
"2018-012272STR","9/7/2018","9/7/2018","9/7/2018","Closed - Complete"
"2018-012279STR","9/7/2018","9/7/2018","9/7/2018","Closed - Complete"
"2018-012298STR","9/7/2018","9/7/2018","9/7/2018","Closed - Complete"
"2018-012334STR","9/10/2018","9/10/2018","9/10/2018","Closed - Complete"
"2018-012362STR","9/10/2018","9/10/2018","9/10/2018","Closed - Complete"
"2018-012366STR","9/10/2018","9/10/2018","9/10/2018","Closed - Complete"
"2018-012408STR","9/11/2018","9/11/2018","9/11/2018","Closed - Complete"
"2018-012417STR","9/11/2018","9/11/2018","9/11/2018","Closed - Complete"
"2018-012421STR","9/11/2018","9/11/2018","9/11/2018","Closed - Complete"
"2018-012578STR","4/15/2019","4/15/2019","4/15/2019","Closed - Complete"
"2018-012702STR","9/17/2018","9/17/2018","9/17/2018","Closed - Complete"
"2018-012753STR","10/9/2018","10/9/2018","10/9/2018","Closed - Complete"
"2018-012756STR","9/18/2018","9/18/2018","9/18/2018","Closed - Complete"
"2018-012792STR","9/18/2018","9/18/2018","9/18/2018","Closed - Complete"
"2018-012855STR","9/20/2018","9/20/2018","9/20/2018","Closed - Complete"
"2018-012987STR","9/21/2018","9/21/2018","9/21/2018","Closed - Complete"
"2018-013001STR","9/21/2018","9/21/2018","9/21/2018","Closed - Complete"
"2018-013062STR","9/24/2018","9/24/2018","9/24/2018","Closed - Complete"
"2018-013071STR","9/24/2018","9/24/2018","9/24/2018","Closed - Complete"
"2018-013072STR","9/24/2018","9/24/2018","9/24/2018","Closed - Complete"
"2018-013073STR","9/25/2018","9/25/2018","9/25/2018","Closed - Complete"
"2018-013075STR","9/25/2018","9/25/2018","9/25/2018","Closed - Complete"
"2018-013156STR","3/4/2019","3/4/2019","3/4/2019","Closed - Complete"
"2018-013167STR","10/11/2018","10/11/2018","10/11/2018","Closed - Complete"
"2018-013191STR","9/27/2018","9/27/2018","9/27/2018","Closed - Complete"
"2018-013194STR","9/27/2018","9/27/2018","9/27/2018","Closed - Complete"
