RECORD_NO,LISTING_ID,HOST_ID,web,Service,what
2015-009073STR,3157463,3924145,https://www.airbnb.com/rooms/3157463,Airbnb,185
2015-009110STR,2802418,13923854,https://www.airbnb.com/rooms/2802418,Airbnb,186
2015-009253STR,10968239,56899803,https://www.airbnb.com/rooms/10968239,Airbnb,187
2015-009262STR,8612967,45309463,https://www.airbnb.com/rooms/8612967,Airbnb,188
2015-009641STR,3883252,5162952,https://www.airbnb.com/rooms/3883252,Airbnb,189
2015-009824STR,21999656,39041682,https://www.airbnb.com/rooms/21999656,Airbnb,190
2015-009974STR,7483031,39190942,https://www.airbnb.com/rooms/7483031,Airbnb,191
2015-009977STR,7549488,14818517,https://www.airbnb.com/rooms/7549488,Airbnb,192
2015-009991STR,224579,1168946,https://www.airbnb.com/rooms/224579,Airbnb,193
2015-010120STR,767506,3807182,https://www.airbnb.com/rooms/767506,Airbnb,194
2015-010300STR,1480015,7919343,https://www.airbnb.com/rooms/1480015,Airbnb,195
2015-010354STR,571042,1550529,https://www.airbnb.com/rooms/571042,Airbnb,196
2015-010438STR,1276953,,https://www.airbnb.com/rooms/1276953,Airbnb,197
2015-010609STR,8151985,14273047,https://www.airbnb.com/rooms/8151985,Airbnb,198
2015-010619STR,1324086,7102527,https://www.airbnb.com/rooms/1324086,Airbnb,199
2015-010653STR,8474452,31121025,https://www.airbnb.com/rooms/8474452,Airbnb,200
2015-010708STR,6072767,31521801,https://www.airbnb.com/rooms/6072767,Airbnb,201
2015-010771STR,9525911,11245496,https://www.airbnb.com/rooms/9525911,Airbnb,202
2015-010936STR,8352275,11512680,https://www.airbnb.com/rooms/8352275,Airbnb,203
2015-011001STR,3105361,15396421,https://www.airbnb.com/rooms/3105361,Airbnb,204
2015-011110STR,4372435,22700332,https://www.airbnb.com/rooms/4372435,Airbnb,205
2015-011258STR,8187584,41368046,https://www.airbnb.com/rooms/8187584,Airbnb,206
2015-011429STR,8595304,4033641,https://www.airbnb.com/rooms/8595304,Airbnb,207
2015-012042STR,7930461,900661,https://www.airbnb.com/rooms/7930461,Airbnb,208
2015-012327STR,10035487,11346187,https://www.airbnb.com/rooms/10035487,Airbnb,209
2015-012439STR,1478708,5004349,https://www.airbnb.com/rooms/1478708,Airbnb,210
2015-012479STR,8472083,44615552,https://www.airbnb.com/rooms/8472083,Airbnb,211
2015-012506STR,6957662,36481063,https://www.airbnb.com/rooms/6957662,Airbnb,212
2015-012685STR,7026287,36833202,https://www.airbnb.com/rooms/7026287,Airbnb,213
2015-013063STR,7956817,38613950,https://www.airbnb.com/rooms/7956817,Airbnb,214
2015-013128STR,7547105,34963239,https://www.airbnb.com/rooms/7547105,Airbnb,215
2015-013141STR,1897346,9856291,https://www.airbnb.com/rooms/1897346,Airbnb,216
2015-013174STR,6968158,17986295,https://www.airbnb.com/rooms/6968158,Airbnb,217
2015-013176STR,4532551,23500389,https://www.airbnb.com/rooms/4532551,Airbnb,218
2015-013337STR,3721927,5020218,https://www.airbnb.com/rooms/3721927,Airbnb,219
2015-013339STR,5998790,16745765,https://www.airbnb.com/rooms/5998790,Airbnb,220
2015-013578STR,13788581,3495695,https://www.airbnb.com/rooms/13788581,Airbnb,221
2015-013712STR,1623609,8633891,https://www.airbnb.com/rooms/1623609,Airbnb,222
2015-014059STR,9972077,47980391,https://www.airbnb.com/rooms/9972077,Airbnb,223
2015-014316STR,6609412,,https://www.airbnb.com/rooms/6609412,Airbnb,224
2015-014328STR,3079929,15673074,https://www.airbnb.com/rooms/3079929,Airbnb,225
2015-014469STR,4663132,10924383,https://www.airbnb.com/rooms/4663132,Airbnb,226
2015-014615STR,7342996,7212456,https://www.airbnb.com/rooms/7342996,Airbnb,227
2015-014620STR,1815551,9509470,https://www.airbnb.com/rooms/1815551,Airbnb,228
2015-014638STR,6560870,28070005,https://www.airbnb.com/rooms/6560870,Airbnb,229
2015-014652STR,2677273,13707610,https://www.airbnb.com/rooms/2677273,Airbnb,230
2015-014725STR,1434425,,https://www.airbnb.com/rooms/1434425,Airbnb,231
2015-014913STR,5863674,30447547,https://www.airbnb.com/rooms/5863674,Airbnb,232
2015-014930STR,2115503,10785430,https://www.airbnb.com/rooms/2115503,Airbnb,233
2015-014975STR,4617719,8515925,https://www.airbnb.com/rooms/4617719,Airbnb,234
2015-015200STR,6748645,3109494,https://www.airbnb.com/rooms/6748645,Airbnb,235
2015-015212STR,964952,5037151,https://www.airbnb.com/rooms/964952,Airbnb,236
2015-015283STR,4781448,,https://www.airbnb.com/rooms/4781448,Airbnb,237
2015-015289STR,6688004,35005343,https://www.airbnb.com/rooms/6688004,Airbnb,238
2015-015296STR,3441517,17343648,https://www.airbnb.com/rooms/3441517,Airbnb,239
2015-015298STR,8053481,14419919,https://www.airbnb.com/rooms/8053481,Airbnb,240
2015-015308STR,7204761,1782044,https://www.airbnb.com/rooms/7204761,Airbnb,241
2015-015472STR,17010389,4435448,https://www.airbnb.com/rooms/17010389,Airbnb,242
2015-015474STR,7004802,,https://www.airbnb.com/rooms/7004802,Airbnb,243
2015-015488STR,44394000,,https://www.airbnb.com/rooms/44394000,Airbnb,244
2015-015510STR,1937575,,https://www.airbnb.com/rooms/1937575,Airbnb,245
2015-015523STR,2154122,10992775,https://www.airbnb.com/rooms/2154122,Airbnb,246
2015-015565STR,3081324,15679486,https://www.airbnb.com/rooms/3081324,Airbnb,247
2015-015630STR,4295657,,https://www.airbnb.com/rooms/4295657,Airbnb,248
2015-015631STR,6926901,1539714,https://www.airbnb.com/rooms/6926901,Airbnb,249
2015-015686STR,3718865,2348306,https://www.airbnb.com/rooms/3718865,Airbnb,250
2015-015788STR,34602830,617985,https://www.airbnb.com/rooms/34602830,Airbnb,251
2015-015792STR,3261876,3371679,https://www.airbnb.com/rooms/3261876,Airbnb,252
2015-015794STR,16824774,3554374,https://www.airbnb.com/rooms/16824774,Airbnb,253
