RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
1982.309V,8/18/1982,Approved,,Approved
1982.313C,6/28/1984,Approved,10047,Approved
1982.320V,9/17/1982,Approved,,Approved
1982.338V,9/28/1982,Disapproved,,Disapproved
1982.339V,9/27/1982,Approved,,Approved
1982.340V,9/16/1982,Approved,,Approved
1982.343C,5/1/1984,Approved,,Approved
1982.344V,10/18/1982,Approved,,Approved
1982.346V,9/22/1982,Disapproved,,Disapproved
1982.348V,10/1/1982,Disapproved,,Disapproved
1982.350C,9/2/1982,Approved,9492,Approved
1982.356V,10/4/1982,Approved,,Approved
1982.357C,10/7/1982,Approved,9527,Approved
1982.358C,8/11/1983,Approved,9787,Approved
1982.361V,9/30/1982,Approved,,Approved
1982.366V,10/12/1982,Disapproved,,Disapproved
1982.368C,8/18/1988,Approved,11426,Approved
1982.369C,10/7/1982,Approved,9528,Approved
1982.369V,11/12/1982,Approved,,Approved
1982.371V,9/8/1983,Disapproved,,Disapproved
1982.375C,9/30/1982,Approved,,Approved
