RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
1989.422C,10/5/1989,Approved,11767,Approved
1989.425C,11/9/1989,Approved,11791,Approved
1989.433D,4/12/1990,Approved,11913,Approved
1989.434D,4/12/1990,Approved,11912,Approved
1989.436C,6/28/1990,Approved,11973,Approved
1989.436C_2,1/27/1994,Approved,13633,Approved
1989.436V,7/30/1990,Approved,,Approved
1989.436V_2,5/16/1994,Approved,,Approved
1989.438P,11/2/1989,Approved,11783,Approved
1989.439V,5/15/1990,Approved,,Approved
1989.441V,5/31/1990,Disapproved,,Disapproved
1989.443V,3/6/1990,Approved,,Approved
1989.445V,4/10/1990,Disapproved,,Disapproved
1989.447C,10/26/1989,Approved,11778,Approved
1989.448V,3/13/1990,Approved,,Approved
1989.451D,5/31/1990,Approved,11948,Approved
1989.455X,7/19/1990,Approved,11982,Approved
1989.458C,11/30/1989,Approved,11803,Approved
1989.459V,1/5/1990,Withdawn,,Withdawn
1989.461V,2/18/1990,Withdawn,,Withdawn
1989.462A,9/6/1989,Approved,,Approved
1989.463C,4/19/1990,Approved,11922,Approved
1989.463V,5/14/1990,Approved,,Approved
1989.464V,2/7/1989,Approved,,Approved
1989.467V,5/11/1990,Approved,,Approved
1989.468C,2/1/1990,Approved,11856,Approved
1989.472C,11/30/1989,Approved,11812,Approved
1989.473A,2/14/1991,Approved,13020,Approved
1989.473C,2/14/1991,Approved,13021,Approved
1989.475D,8/23/1990,Approved,12002,Approved
1989.476V,6/5/1990,Approved,,Approved
1989.477C,9/13/1990,Approved,12024,Approved
1989.478C,11/30/1989,Approved,11813,Approved
1989.490V,6/1/1992,Approved,,Approved
1989.491A,11/15/1989,Approved,,Approved
1989.493C,12/7/1989,Approved,11818,Approved
1989.494C,12/7/1989,Approved,11816,Approved
1989.496D,1/18/1990,Approved,11846,Approved
1989.497A,5/2/1990,Approved,,Approved
1989.499V,6/13/1990,Approved,,Approved
1989.502V,11/19/1990,Approved,,Approved
1989.503C,11/16/1989,Approved,11799,Approved
1989.519V,6/19/1990,Approved,,Approved
1989.520C,7/26/1990,Approved,11993,Approved
1989.521C,11/9/1989,Approved,11792,Approved
1989.527C,1/18/1990,Disapproved,11847,Disapproved
1989.528C,4/11/1991,Approved,13056,Approved
1989.532V,7/13/1990,Approved,,Approved
1989.533V,6/22/1990,Approved,,Approved
1989.534C,11/2/1989,Approved,11788,Approved
1989.534P,11/2/1989,Approved,,Approved
1989.536C,11/9/1989,Approved,11789,Approved
1989.538V,5/23/1990,Approved,,Approved
1989.539V,5/11/1990,Approved,,Approved
1989.540C,11/2/1989,Approved,11782,Approved
1989.544V,11/21/1989,Approved,,Approved
1989.553C,3/11/1991,Withdawn,,Withdawn
1989.554V,5/23/1990,Disapproved,,Disapproved
1989.555C,11/30/1989,Approved,11806,Approved
1989.557A,1/9/1992,Approved,13240,Approved
1989.558D,2/8/1990,Approved,11858,Approved
1989.561C,1/18/1990,Approved,11845,Approved
1989.562V,5/23/1990,Approved,,Approved
1989.568C,11/8/1990,Approved,12069,Approved
1989.573C,5/2/1991,Approved,13074,Approved
1989.574D,3/29/1990,Approved,11903,Approved
1989.578C,12/14/1989,Approved,11830,Approved
1989.580V,5/11/1990,Disapproved,,Disapproved
1989.584C,11/15/1990,Approved,12075,Approved
1989.586C,11/30/1989,Approved,11808,Approved
1989.586V,12/11/1989,Approved,,Approved
1989.588P,6/21/1990,Approved,11966,Approved
1989.589B,12/5/1991,Approved,13218,Approved
1989.589B_2,7/1/1998,Withdawn,,Withdawn
1989.589X,12/5/1991,Approved,13217,Approved
1989.590V,10/24/1990,Approved,,Approved
1989.595V,6/5/1990,Disapproved,,Disapproved
1989.596C,3/6/1992,Approved,13307,Approved
1989.597V,5/15/1990,Approved,,Approved
1989.598A,5/2/1990,Approved,,Approved
1989.598V,10/29/1990,Approved,,Approved
1989.601C,3/8/1990,Approved,11889,Approved
1989.602C,1/25/1990,Withdawn,,Withdawn
1989.602V,1/25/1990,Withdawn,,Withdawn
1989.604V,7/13/1990,Disapproved,,Disapproved
1989.606D,1/4/1990,Approved,11835,Approved
1989.607A,12/6/1989,Approved,,Approved
1989.610C,1/11/1990,Approved,11840,Approved
1989.610V,2/2/1990,Approved,,Approved
1989.613V,7/12/1990,Approved,,Approved
1989.616V,1/3/1991,Approved,,Approved
1989.617V,9/14/1990,Approved,,Approved
1989.619C,7/26/1990,Withdawn,,Withdawn
1989.620V,7/12/1990,Disapproved,,Disapproved
1989.621D,5/31/1990,Approved,11952,Approved
1989.623V,7/11/1990,Approved,,Approved
1989.624V,7/13/1990,Approved,,Approved
1989.625C,1/25/1990,Approved,11850,Approved
1989.629V,8/29/1990,Approved,,Approved
1989.630V,8/3/1990,Approved,,Approved
1989.631D,3/8/1990,Approved,11884,Approved
1989.632B,9/19/1991,Withdawn,,Withdawn
1989.632X,9/19/1991,Withdawn,,Withdawn
1989.637C,2/21/1991,Approved,13026,Approved
1989.638A,1/3/1990,Approved,,Approved
1989.643C,3/15/1990,Approved,11895,Approved
1989.644V,4/30/1991,Approved,,Approved
1989.645C,2/22/1990,Approved,11870,Approved
1989.650V,7/13/1990,Approved,,Approved
1989.657C,7/19/1990,Approved,11983,Approved
1989.658C,7/26/1990,Approved,11995,Approved
1989.658C_2,3/1/1990,Approved,11881,Approved
1989.659C,3/1/1990,Approved,11880,Approved
1989.664A,1/3/1990,Approved,,Approved
1989.665C,1/17/1991,Disapproved,12094,Disapproved
1989.668V,7/8/1991,Approved,,Approved
1989.670V,9/6/1990,Approved,,Approved
1989.676V,10/18/1990,Withdawn,,Withdawn
1989.677C,3/8/1990,Approved,11886,Approved
1989.678V,8/7/1990,Approved,,Approved
1989.698V,2/27/1991,Disapproved,,Disapproved
1989.699C,5/17/1990,Approved,11940,Approved
1989.702C,10/4/1990,Disapproved,12045,Disapproved
1989.703X,1/25/1990,Approved,,Approved
