"b1_alt_id","b1_special_text","SD_PRO_DES","SD_APP_DES","CURRENT","NEXT","RecordStatus"
"13374_ENF","1308 Leavenworth Street Illegal Short-Term Rentals by Owner","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"13404_ENF","720 Market Street - Conditions of Approval (open space)","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"13404_ENF","720 Market Street - Conditions of Approval (open space)","On Hold","In Review While On Hold","018000000000000","017000000000000","On Hold"
"13404_ENF","720 Market Street - Conditions of Approval (open space)","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"13456_ENF","600 MOUNT VERNON AV","Completion Processing","In Progress","019000000000000","000013000000000","Pending Closure"
"13456_ENF","600 MOUNT VERNON AV","On Hold","Remove Hold","018000000000000","017000000000000","Pending Closure"
"13456_ENF","600 MOUNT VERNON AV","Analysis","Analysis Complete","017001000000000","019018000000000","Pending Closure"
"2014-002251ENF","75 ASHBURY TER","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2014-002251ENF","75 ASHBURY TER","On Hold","In Review While On Hold","018000000000000","017000000000000","On Hold"
"2014-002251ENF","75 ASHBURY TER","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2014-002926ENF","38 Rossi Street","Completion Processing","Closed - Abated","019000000000000","000013000000000","Under Review"
"2014-002926ENF","38 Rossi Street","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2014-002926ENF","38 Rossi Street","Analysis","Under Review","017001000000000","019018000000000","Under Review"
"2014-003195ENF","214 States Street","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2014-003195ENF","214 States Street","On Hold","In Review While On Hold","018000000000000","017000000000000","On Hold"
"2014-003195ENF","214 States Street","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-001328ENF","704 Broderick Street","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-001328ENF","704 Broderick Street","On Hold","In Review While On Hold","018000000000000","017000000000000","On Hold"
"2015-001328ENF","704 Broderick Street","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-002220ENF","1014 Diamond Street","Completion Processing","In Progress","019000000000000","000013000000000","On Hold"
"2015-002220ENF","1014 Diamond Street","On Hold","In Review While On Hold","018000000000000","017000000000000","On Hold"
"2015-002220ENF","1014 Diamond Street","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-004591ENF","1242 43rd Ave","Completion Processing","NULL","019000000000000","000013000000000","Pending Closure"
"2015-004591ENF","1242 43rd Ave","On Hold","Remove Hold","018000000000000","017000000000000","Pending Closure"
"2015-004591ENF","1242 43rd Ave","Analysis","Analysis Complete","017001000000000","019018000000000","Pending Closure"
"2015-005370ENF","336 PIERCE ST","Completion Processing","In Progress","019000000000000","000013000000000","On Hold"
"2015-005370ENF","336 PIERCE ST","On Hold","In Review While On Hold","018000000000000","017000000000000","On Hold"
"2015-005370ENF","336 PIERCE ST","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-005519ENF","Merger (loss of housing)","Completion Processing","In Progress","019000000000000","000013000000000","Pending Closure"
"2015-005519ENF","Merger (loss of housing)","On Hold","Remove Hold","018000000000000","017000000000000","Pending Closure"
"2015-005519ENF","Merger (loss of housing)","Analysis","Analysis Complete - Violation Abated","017001000000000","019018000000000","Pending Closure"
